         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1      2628000.0      2628000.0              0.0              0.0              0.0              0.0              0.0             20.0        0.2099814        0.2708645       44.0565227       12.2935308        8.4750000              0.0              0.0       20.1771123              0.0              0.0   3.4781681E-6  -6.5947454E-6
  NaN                   2     1    82713.08566   2.7107131E+6     7.4355722E-8        7.9043444              0.0              0.0              0.0             20.0        0.2098202        0.2709380       43.9876159       12.3193547        9.7082773              0.0              0.0       13.4110654              0.0              0.0   1.1144527E-5   2.0674114E-5
  NaN                   2     2    90984.39423   2.8016975E+6     7.2264380E-8        7.6887619              0.0              0.0              0.0             20.0        0.2096630        0.2710153       43.9197620       12.3461708        9.6010183              0.0              0.0       13.4244862              0.0              0.0   9.2760832E-6   1.7264112E-5
  NaN                   2     3   100082.83365   2.9017803E+6     6.6445636E-8        7.4687050              0.0              0.0              0.0             20.0        0.2095113        0.2710959       43.8536200       12.3738180        9.4890074              0.0              0.0       13.4385123              0.0              0.0   7.5745457E-6   1.4144246E-5
  NaN                   2     4   110091.11701   3.0118714E+6     3.2725242E-4        7.2453561              0.0              0.0              0.0             20.0        0.2093666        0.2711795       43.7897169       12.4020831        9.3723165              0.0              0.0       13.4531024              0.0              0.0   6.0412117E-6   1.1319124E-5
  NaN                   2     5   121100.22871   3.1329717E+6        0.0032367        7.0213727              0.0              0.0              0.0             20.0        0.2092301        0.2712655       43.7285658       12.4307170        9.2505257              0.0              0.0       13.4681986              0.0              0.0   4.7082719E-6   8.8515400E-6
  NaN                   2     6   133210.25159   3.2661819E+6        0.0061789        6.7963415              0.0              0.0              0.0             20.0        0.2091031        0.2713531       43.6706151       12.4594354        9.1249792              0.0              0.0       13.4837428              0.0              0.0   3.6038357E-6   6.7982952E-6
  NaN                   2     7   146531.27674   3.4127132E+6        0.0091186        6.5714779              0.0              0.0              0.0             20.0        0.2089865        0.2714415       43.6162272       12.4879255        8.9962104              0.0              0.0       13.4996743              0.0              0.0   2.3478865E-5   4.4441849E-5
  NaN                   2     8   161184.40442   3.5738976E+6        0.0120132        6.3459396              0.0              0.0              0.0             20.0        0.2088808        0.2715297       43.5656603       12.5158553        8.8627134              0.0              0.0       13.5159250              0.0              0.0   1.8041414E-5   3.4267176E-5
  NaN                   2     9   177302.84486   3.7512004E+6        0.0158347        6.2651092              0.0              0.0              0.0             20.0        0.2087868        0.2716167       43.5193570       12.5644380        8.8900399              0.0              0.0       13.5328289              0.0              0.0   2.5499895E-5   4.8447567E-5
  NaN                   2    10   195033.12935   3.9462336E+6        0.0184495        6.2319723              0.0              0.0              0.0             20.0        0.2087041        0.2717024       43.4769778       12.6399277        8.9903780              0.0              0.0       13.5509017              0.0              0.0   5.3240793E-6   1.0103670E-5
  NaN                   2    11   214536.44228   4.1607700E+6        0.0208336        6.2676234              0.0              0.0              0.0             20.0        0.2086323        0.2717870       43.4383989       12.7580991        9.2002007              0.0              0.0       13.5705478              0.0              0.0   8.1701501E-6   1.5453848E-5
  NaN                   2    12   235990.08651   4.3967601E+6        0.0229185        6.0570300              0.0              0.0              0.0             20.0        0.2085707        0.2718697       43.4031183       12.8788095        9.1643125              0.0              0.0       13.5912045              0.0              0.0   6.2100347E-6   1.1761671E-5
  NaN                   2    13   259589.09516   4.6563492E+6        0.0248993        6.0175528              0.0              0.0              0.0             20.0        0.2085185        0.2719503       43.3695288       13.0321652        9.3313602              0.0              0.0       13.6126739              0.0              0.0   3.5470922E-5  -6.7009302E-5
  NaN                   2    14   285548.00468   4.9418972E+6        0.0261440        5.6732293              0.0              0.0              0.0             20.0        0.2084746        0.2720276       43.3377591       13.1557612        9.1629505              0.0              0.0       13.6343052              0.0              0.0   4.9544766E-6   9.3949862E-6
  NaN                   2    15   314102.80515      5256000.0        0.0268704        5.3701781              0.0              0.0              0.0             20.0        0.2084375        0.2720999       43.3079517       13.2562108        9.0101225              0.0              0.0       13.6548680              0.0              0.0   2.5374483E-5   4.8283265E-5
  NaN                   3     1    82713.08566   5.3387131E+6        0.0276317       17.2620787              0.0              0.0              0.0             10.0        0.2084289        0.2721176       43.3007659       13.2801744       10.9449523              0.0              0.0       13.6673945              0.0              0.0   1.3575590E-5   2.4917674E-5
  NaN                   3     2    90984.39423   5.4296975E+6        0.0276072       17.1817102              0.0              0.0              0.0             10.0        0.2084200        0.2721361       43.2931821       13.3041451       10.9013212              0.0              0.0       13.6725262              0.0              0.0   1.2945369E-5   2.3783289E-5
  NaN                   3     3   100082.83365   5.5297803E+6        0.0275437       18.7569404              0.0              0.0              0.0             10.0        0.2084110        0.2721554       43.2852027       13.3280130       12.5170842              0.0              0.0       13.6811006              0.0              0.0   3.2299506E-5   5.7638346E-5
  NaN                   3     4   110091.11701   5.6398714E+6        0.0274329       18.7075840              0.0              0.0              0.0             10.0        0.2084019        0.2721754       43.2768341       13.3515025       12.5120488              0.0              0.0       13.6934258              0.0              0.0   3.0024509E-5   5.3591554E-5
  NaN                   3     5   121100.22871   5.7609717E+6        0.0272658       18.8623130              0.0              0.0              0.0             10.0        0.2083927        0.2721960       43.2680815       13.3800709       12.7180388              0.0              0.0       13.7071709              0.0              0.0   2.7941139E-5   4.9698082E-5
  NaN                   3     6   133210.25159   5.8941819E+6        0.0270245       19.5566605              0.0              0.0              0.0             10.0        0.2083834        0.2722173       43.2589484       13.4182606       13.4773540              0.0              0.0       13.7245429              0.0              0.0   2.8907674E-5   5.0740413E-5
  NaN                   3     7   146531.27674   6.0407132E+6        0.0264736       19.5090286              0.0              0.0              0.0             10.0        0.2083739        0.2722393       43.2494159       13.4655986       13.5078095              0.0              0.0       13.7451802              0.0              0.0   2.6150422E-5   4.5884325E-5
  NaN                   3     8   161184.40442   6.2018976E+6        0.0258890       19.4503790              0.0              0.0              0.0             10.0        0.2083644        0.2722621       43.2392113       13.5229100       13.5391157              0.0              0.0       13.7670062              0.0              0.0   2.3092521E-5   4.0504264E-5
  NaN                   3     9   177302.84486   6.3792004E+6        0.0252709       19.8509422              0.0              0.0              0.0             10.0        0.2083549        0.2722853       43.2285168       13.5727321       14.0251414              0.0              0.0       13.7912959              0.0              0.0   2.8465403E-5   4.9516011E-5
  NaN                   3    10   195033.12935   6.5742336E+6        0.0246185       21.1747250              0.0              0.0              0.0             10.0        0.2083453        0.2723087       43.2172536       13.6168750       15.4366503              0.0              0.0       13.8229314              0.0              0.0   2.7556486E-5   4.6795650E-5
  NaN                   3    11   214536.44228   6.7887700E+6        0.0239320       21.5364727              0.0              0.0              0.0             10.0        0.2083354        0.2723322       43.2054512       13.6570842       15.8914140              0.0              0.0       13.8632132              0.0              0.0   3.0395108E-5   5.1231350E-5
  NaN                   3    12   235990.08651   7.0247601E+6        0.2582292       21.8215583              0.0              0.0              0.0             10.0        0.2083253        0.2723553       43.1938958       13.6936971       16.4729726              0.0              0.0       14.3457612              0.0              0.0   5.1062639E-5   8.4915607E-5
  NaN                   3    13   259589.09516   7.2843492E+6        0.2379859       21.4898922              0.0              0.0              0.0             10.0        0.2083150        0.2723778       43.1825914       13.7256132       16.2557836              0.0              0.0       14.3967511              0.0              0.0   4.1481079E-5   6.9268295E-5
  NaN                   3    14   285548.00468   7.5698972E+6        0.2087060       21.2303979              0.0              0.0              0.0             10.0        0.2083042        0.2723995       43.1713685       13.7545126       16.1074821              0.0              0.0       14.4385150              0.0              0.0   3.5855765E-5   6.0064090E-5
  NaN                   3    15   314102.80515      7884000.0        0.2017104       20.9608819              0.0              0.0              0.0             10.0        0.2082938        0.2724202       43.1603325       13.7818390       15.9590404              0.0              0.0       14.5142043              0.0              0.0   3.1823431E-5   5.3458377E-5
  NaN                   4     1    82713.08566   7.9667131E+6        0.2174943       20.8133397              0.0              0.0              0.0             10.0        0.2082913        0.2724253       43.1576242       13.7884517       15.8578834              0.0              0.0       14.5670568              0.0              0.0   1.9795143E-5   3.3302011E-5
  NaN                   4     2    90984.39423   8.0576975E+6        0.2148448       20.7645185              0.0              0.0              0.0             10.0        0.2082887        0.2724307       43.1547352       13.7953793       15.8322121              0.0              0.0       14.5777325              0.0              0.0   1.9851125E-5   3.3413738E-5
  NaN                   4     3   100082.83365   8.1577803E+6        0.2064311       20.7009708              0.0              0.0              0.0             10.0        0.2082860        0.2724364       43.1516528       13.8027774       15.7990392              0.0              0.0       14.5892058              0.0              0.0   1.8932767E-5   3.1891922E-5
  NaN                   4     4   110091.11701   8.2678714E+6        0.1967988       21.5060376              0.0              0.0              0.0             10.0        0.2082832        0.2724432       43.1263728       13.8606286       16.7106679              0.0              0.0       14.6029612              0.0              0.0   5.2071769E-5   8.6437511E-5
  NaN                   4     5   121100.22871   8.3889717E+6        0.1939374       22.1822735              0.0              0.0              0.0             10.0        0.2082803        0.2724525       43.0886023       13.9830241       17.5675063              0.0              0.0       14.6205255              0.0              0.0   5.0780751E-5   8.3167645E-5
  NaN                   4     6   133210.25159   8.5221819E+6        0.1835200       22.6132873              0.0              0.0              0.0             10.0        0.2082772        0.2724652       43.0521336       14.1672362       18.2508677              0.0              0.0       14.6417619              0.0              0.0   4.7832764E-5   7.7531305E-5
  NaN                   4     7   146531.27674   8.6687132E+6        0.1752371       25.9469864              0.0              0.0              0.0             10.0        0.2082741        0.2724815       43.0169149       14.3363881       21.8320930              0.0              0.0       14.6766372              0.0              0.0   2.5830245E-5   3.9597199E-5
  NaN                   4     8   161184.40442   8.8298976E+6        0.1680251       31.4048691              0.0              0.0              0.0             10.0        0.2082708        0.2725014       42.9836401       14.4865668       27.5481458              0.0              0.0       14.7440882              0.0              0.0   5.6207003E-5   7.9267446E-5
  NaN                   4     9   177302.84486   9.0072004E+6        0.1542694       32.1301206              0.0              0.0              0.0             10.0        0.2082673        0.2725256       42.8942800       14.6116285       28.5958060              0.0              0.0       14.8382998              0.0              0.0   4.8107246E-5   6.6952688E-5
  NaN                   4    10   195033.12935   9.2022336E+6        0.1475056       30.9767997              0.0              0.0              0.0             10.0        0.2082637        0.2726415       42.8144052       14.7272928       27.7417914              0.0              0.0       14.9351932              0.0              0.0   3.8706235E-5   5.4583517E-5
  NaN                   4    11   214536.44228   9.4167700E+6        0.1306982       29.9716469              0.0              0.0              0.0             10.0        0.2082599        0.2729183       42.7470709       14.8414965       27.0270100              0.0              0.0       15.0269150              0.0              0.0   6.2311151E-5   8.8872455E-5
  NaN                   4    12   235990.08651   9.6527601E+6        0.1163380       29.5971853              0.0              0.0              0.0             10.0        0.2082559        0.2731984       42.6084889       14.9381184       26.9872556              0.0              0.0       15.1117865              0.0              0.0   4.9693255E-5   7.1071270E-5
  NaN                   4    13   259589.09516   9.9123492E+6        0.1025162       29.4329082              0.0              0.0              0.0             10.0        0.2082516        0.2740461       42.3319667       15.0573629       27.3182360              0.0              0.0       15.1965759              0.0              0.0   7.7301346E-5   1.1049216E-4
  NaN                   4    14   285548.00468   1.0197897E+7        0.0937903       28.3625793              0.0              0.0              0.0             10.0        0.2082469        0.2748007       42.1301794       15.1758415       26.6571236              0.0              0.0       15.2760622              0.0              0.0   5.6545961E-5   8.1844731E-5
  NaN                   4    15   314102.80515   1.0512000E+7        0.0813392       27.5114463              0.0              0.0              0.0             10.0        0.2082420        0.2754708       42.0476613       15.3494521       26.1471424              0.0              0.0       15.3479774              0.0              0.0   3.8338470E-5   5.5981346E-5
  NaN                   5     1    82713.08566   1.0594713E+7       14.7679830       20.2565424              0.0              0.0              0.0             30.0        0.2082407        0.2756343       42.0300448       15.3919197       24.3092585              0.0              0.0       15.3913733              0.0              0.0   5.7284818E-5   7.0447601E-5
  NaN                   5     2    90984.39423   1.0685697E+7       14.4569826       19.6615633              0.0              0.0              0.0             30.0        0.2082393        0.2758021       42.0143911       15.4353751       24.1014624              0.0              0.0       15.4082836              0.0              0.0   5.1171668E-5   6.3346129E-5
  NaN                   5     3   100082.83365   1.0785780E+7       14.4870422       18.9846187              0.0              0.0              0.0             30.0        0.2082377        0.2759721       42.0010246       15.4454732       23.4342160              0.0              0.0       15.4244114              0.0              0.0   4.5110740E-5   5.6296592E-5
  NaN                   5     4   110091.11701   1.0895871E+7       14.7041136       17.4909226              0.0              0.0              0.0             30.0        0.2082360        0.2761429       41.9889909       15.3952238       21.6972992              0.0              0.0       15.4363140              0.0              0.0   3.6314251E-5   4.6202148E-5
  NaN                   5     5   121100.22871   1.1016972E+7       17.3301681       13.9917059              0.0              0.0              0.0             30.0        0.2082848        0.2763126       41.9646519       15.2534609       17.1369271              0.0              0.0       17.1185787              0.0              0.0   2.6158472E-5  -3.4131598E-5
  NaN                   5     6   133210.25159   1.1150182E+7       20.7348969       11.5697918              0.0              0.0              0.0             30.0        0.2083957        0.2764751       41.9349665       15.0562023       13.1163749              0.0              0.0       19.0922164              0.0              0.0   5.1686597E-5  -6.8013459E-5
  NaN                   5     7   146531.27674   1.1296713E+7       21.4605754       10.5730048              0.0              0.0              0.0             30.0        0.2084982        0.2766302       41.8934933       14.8388985       11.1387009              0.0              0.0       19.0127572              0.0              0.0   2.2883491E-5  -3.0633332E-5
  NaN                   5     8   161184.40442   1.1457898E+7       21.0583709        9.5128951              0.0              0.0              0.0             30.0        0.2085914        0.2767743       41.8468082       14.6192533       10.2196135              0.0              0.0       18.9244780              0.0              0.0   1.6675894E-5  -2.2739837E-5
  NaN                   5     9   177302.84486   1.1635200E+7       20.2116389        8.4182303              0.0              0.0              0.0             30.0        0.2086752        0.2768997       41.8571101       14.4651884        9.7289984              0.0              0.0       18.8461341              0.0              0.0   2.9919358E-5  -4.1550949E-5
  NaN                   5    10   195033.12935   1.1830234E+7       19.2221450        7.3932312              0.0              0.0              0.0             30.0        0.2087482        0.2769936       41.8802476       14.3296602        9.4387877              0.0              0.0       18.7500564              0.0              0.0   1.2936580E-5  -1.8284936E-5
  NaN                   5    11   214536.44228   1.2044770E+7       18.4302903        6.3491308              0.0              0.0              0.0             30.0        0.2088102        0.2769297       41.9551558       14.2061106        8.8861395              0.0              0.0       18.6482280              0.0              0.0   3.2776550E-6  -4.7173809E-6
  NaN                   5    12   235990.08651   1.2280760E+7       17.5639298        5.3482652              0.0              0.0              0.0             30.0        0.2088610        0.2767309       42.0751185       14.0936677        8.4110469              0.0              0.0       18.5403038              0.0              0.0   1.1547722E-5  -1.6917517E-5
  NaN                   5    13   259589.09516   1.2540349E+7       16.6800359        4.4493867              0.0              0.0              0.0             30.0        0.2089014        0.2764355       42.2160756       13.9907094        8.0449334              0.0              0.0       18.4334204              0.0              0.0   5.8833663E-6  -8.7615350E-6
  NaN                   5    14   285548.00468   1.2825897E+7       15.7982398        3.7692787              0.0              0.0              0.0             30.0        0.2089313        0.2760792       42.3591622       13.8973748        7.8932373              0.0              0.0       18.3168734              0.0              0.0   3.5576416E-5  -5.3692480E-5
  NaN                   5    15   314102.80515   1.3140000E+7       14.9569909        3.2608644              0.0              0.0              0.0             30.0        0.2089516        0.2756856       42.4951915       13.8131224        7.8905331              0.0              0.0       18.2020086              0.0              0.0   1.3797680E-5  -2.1048555E-5
  NaN                   6     1    82713.08566   1.3222713E+7        5.1236087       23.6497265              0.0              0.0              0.0              0.0        0.2089554        0.2755787       42.5327528       13.7918939        8.0041982              0.0              0.0       18.1523369              0.0              0.0   2.0796892E-5  -3.7224035E-5
  NaN                   6     2    90984.39423   1.3313697E+7        4.6268031       23.3010890              0.0              0.0              0.0              0.0        0.2089589        0.2754598       42.5705210       13.7698073        8.0647378              0.0              0.0       18.1246841              0.0              0.0   1.9353416E-5  -3.4889231E-5
  NaN                   6     3   100082.83365   1.3413780E+7        4.2405297       23.0534263              0.0              0.0              0.0              0.0        0.2089620        0.2753335       42.6098431       13.7471272        8.1123832              0.0              0.0       18.0958480              0.0              0.0   1.7029432E-5  -3.0866229E-5
  NaN                   6     4   110091.11701   1.3523871E+7        3.9146334       22.8924046              0.0              0.0              0.0              0.0        0.2089646        0.2752024       42.6488383       13.7240194        8.1851670              0.0              0.0       18.0659926              0.0              0.0   1.5882789E-5  -2.8900071E-5
  NaN                   6     5   121100.22871   1.3644972E+7        3.6535108       22.7960960              0.0              0.0              0.0              0.0        0.2089667        0.2750608       42.6868734       13.7002316        8.2572571              0.0              0.0       18.0352336              0.0              0.0   1.4062625E-5  -2.5658626E-5
  NaN                   6     6   133210.25159   1.3778182E+7        3.3878273       22.9596490              0.0              0.0              0.0              0.0        0.2089681        0.2749120       42.7271017       13.7064294        8.6216911              0.0              0.0       18.0046100              0.0              0.0   1.2111623E-5  -2.2042937E-5
  NaN                   6     7   146531.27674   1.3924713E+7        3.0974510       22.9853506              0.0              0.0              0.0              0.0        0.2089690        0.2747613       42.7647158       13.7299443        8.8932830              0.0              0.0       17.9743727              0.0              0.0   1.0142656E-5  -1.8453128E-5
  NaN                   6     8   161184.40442   1.4085898E+7        2.8101046       23.3840445              0.0              0.0              0.0              0.0        0.2089692        0.2746042       42.8013370       13.7784662        9.5613197              0.0              0.0       17.9446242              0.0              0.0   8.7601144E-6  -1.5817696E-5
  NaN                   6     9   177302.84486   1.4263200E+7        2.5944206       24.8585281              0.0              0.0              0.0              0.0        0.2089691        0.2744420       42.8383996       13.8409655       11.2526134              0.0              0.0       17.9205035              0.0              0.0   3.6339854E-5  -6.3872439E-5
  NaN                   6    10   195033.12935   1.4458234E+7        1.8075433       26.0204309              0.0              0.0              0.0              0.0        0.2089685        0.2742826       42.8708409       13.8911155       13.1949870              0.0              0.0       17.8965365              0.0              0.0   2.5967230E-5  -4.4707608E-5
  NaN                   6    11   214536.44228   1.4672770E+7        0.9054459       27.8260133              0.0              0.0              0.0              0.0        0.2089672        0.2741227       42.9030372       13.9318837       15.9008953              0.0              0.0       17.8863112              0.0              0.0   1.4647105E-5   2.4445112E-5
  NaN                   6    12   235990.08651   1.4908760E+7        0.6299027       28.7487138              0.0              0.0              0.0              0.0        0.2089654        0.2739607       42.9333656       13.9632576       17.1036177              0.0              0.0       17.8898952              0.0              0.0   2.4029809E-5   3.9473475E-5
  NaN                   6    13   259589.09516   1.5168349E+7        0.4997368       28.6408754              0.0              0.0              0.0              0.0        0.2089634        0.2738053       42.9593012       13.9857185       17.1334259              0.0              0.0       17.9009691              0.0              0.0   5.8960806E-5   9.6972780E-5
  NaN                   6    14   285548.00468   1.5453897E+7        0.4551258       30.9505783              0.0              0.0              0.0              0.0        0.2089610        0.2736580       42.9834586       14.0020902       19.4895218              0.0              0.0       17.9107266              0.0              0.0   1.4068858E-5   2.2283042E-5
