         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1            1.0            1.0              0.0              0.0              0.0      39599.99915          39600.0              0.0              0.0              0.0   8.5088749E-4   2.1487058E-6
  NaN                   2     1         365.25         366.25     140773.72784              0.0              0.0      39560.29914          39600.0         144000.0       3186.57130              0.0   6.4892811E-7  3.5352313E-10
  NaN                   2     2         365.25          731.5     142767.63474              0.0              0.0      39523.67745          39600.0         144000.0       1156.04272              0.0   5.2913674E-7  2.8832069E-10
  NaN                   2     3         365.25        1096.75     142806.42782              0.0              0.0      39476.54350          39600.0         144000.0       1070.11568              0.0   5.1732059E-7  2.8195462E-10
  NaN                   2     4         365.25         1462.0     142591.94813              0.0              0.0      39417.40983          39600.0         144000.0       1225.46171              0.0   7.7008735E-7  4.1985510E-10
  NaN                   2     5         365.25        1827.25     142435.38440              0.0              0.0      39345.87964          39600.0         144000.0       1310.49524              0.0   7.1275281E-7  3.8874766E-10
  NaN                   2     6         365.25         2192.5     142287.61971              0.0              0.0      39261.83964          39600.0         144000.0       1374.21993              0.0   1.0573713E-6  5.7697296E-10
  NaN                   2     7         365.25        2557.75     142213.49123              0.0              0.0      39165.39659          39600.0         144000.0       1351.90536              0.0   9.7422162E-7  5.3188082E-10
  NaN                   2     8         365.25         2923.0     142151.31912              0.0              0.0      39056.82583          39600.0         144000.0       1305.50670              0.0   8.8330125E-7  4.8252844E-10
  NaN                   2     9         365.25        3288.25     142066.09609              0.0              0.0      38936.53414          39600.0         144000.0       1270.43805              0.0   8.2363840E-7  4.5023177E-10
  NaN                   2    10         365.25         3653.5     141962.16370              0.0              0.0      38805.02489          39600.0         144000.0       1242.86119              0.0   7.8752055E-7  4.3079809E-10
  NaN                   2    11         365.25        4018.75     141842.43302              0.0              0.0      38662.86790          39600.0         144000.0       1220.43488              0.0   7.3661795E-7  4.0326639E-10
  NaN                   2    12         365.25         4384.0     141709.00097              0.0              0.0      38510.67439          39600.0         144000.0       1201.67342              0.0   7.1470276E-7  3.9159505E-10
  NaN                   2    13         365.25        4749.25     141563.47510              0.0              0.0      38349.07682          39600.0         144000.0       1185.60172              0.0   7.0445822E-7  3.8632398E-10
  NaN                   2    14         365.25         5114.5     141407.15407              0.0              0.0      38178.71310          39600.0         144000.0       1171.55903              0.0   6.8623922E-7  3.7668463E-10
  NaN                   2    15         365.25        5479.75     141241.13053              0.0              0.0      38000.21466          39600.0         144000.0       1159.08413              0.0   6.5861968E-7  3.6187852E-10
  NaN                   2    16         365.25         5845.0     141066.35144              0.0              0.0      37814.19758          39600.0         144000.0       1147.84614              0.0   6.4348569E-7  3.5392489E-10
  NaN                   2    17         365.25        6210.25     140883.65456              0.0              0.0      37621.25635          39600.0         144000.0       1137.60179              0.0   6.3987682E-7  3.5231384E-10
  NaN                   2    18         365.25         6575.5     140693.79139              0.0              0.0      37421.95964          39600.0         144000.0       1128.16825              0.0   6.2873005E-7  3.4655675E-10
  NaN                   2    19         365.25        6940.75     140497.44227              0.0              0.0      37216.84764          39600.0         144000.0       1119.40537              0.0   6.2389881E-7  3.4428301E-10
  NaN                   2    20         365.25         7306.0     140295.22676              0.0              0.0      37006.43064          39600.0         144000.0       1111.20388              0.0   6.0300226E-7  3.3313859E-10
  NaN                   2    21         365.25        7671.25     140087.71118              0.0              0.0      36791.18847          39600.0         144000.0       1103.47729              0.0   5.9470767E-7  3.2894727E-10
  NaN                   2    22         365.25         8036.5     139875.41445              0.0              0.0      36571.57066          39600.0         144000.0       1096.15622              0.0   5.8612204E-7  3.2459265E-10
  NaN                   2    23         365.25        8401.75     139640.26450              0.0              0.0      36347.99758          39600.0         144000.0       1107.73308              0.0   6.4587221E-7  3.5812552E-10
  NaN                   2    24         365.25         8767.0     139417.46359              0.0              0.0      36120.86004          39600.0         144000.0       1103.39646              0.0   6.3155312E-7  3.5062742E-10
