         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1    15757.41147    15757.41147       40.7349916    6.2894039E-13              0.0              0.0              0.0       40.7349916              0.0              0.0   1.3987723E-8   3.4338348E-8
  NaN                   1     2    17333.15262    33090.56409        6.1389467    7.0271445E-13              0.0              0.0              0.0        6.1389465              0.0              0.0   2.3854767E-7   3.8858079E-6
  NaN                   1     3    19066.46788    52157.03197        4.0140080    5.9312614E-13              0.0              0.0              0.0        4.0140080              0.0              0.0   4.9874896E-8   1.2425211E-6
  NaN                   1     4    20973.11467    73130.14664        3.5033978    6.5379408E-13              0.0              0.0              0.0        3.5033968              0.0              0.0   9.9961829E-7   2.8532827E-5
  NaN                   1     5    23070.42613    96200.57277        3.1397320    5.0371144E-13              0.0              0.0              0.0        3.1397312              0.0              0.0   8.8388562E-7   2.8151630E-5
  NaN                   1     6    25377.46875   121578.04152        2.8414045    5.9048757E-13              0.0              0.0              0.0        2.8414036              0.0              0.0   8.9296401E-7   3.1426858E-5
  NaN                   1     7    27915.21562   149493.25714        2.5914195    4.3303733E-13              0.0              0.0              0.0        2.5914188              0.0              0.0   6.7838321E-7   2.6178058E-5
  NaN                   1     8    30706.73718   180199.99433        2.3788972    4.3988594E-13              0.0              0.0              0.0        2.3788966              0.0              0.0   6.0609502E-7   2.5477986E-5
  NaN                   1     9    33777.41090   213977.40523        2.1958115    2.3025385E-13              0.0              0.0              0.0        2.1958110              0.0              0.0   5.7669832E-7   2.6263565E-5
  NaN                   1    10    37155.15199   251132.55722        2.0361627    3.9284433E-13              0.0              0.0              0.0        2.0361622              0.0              0.0   5.4003580E-7   2.6522235E-5
  NaN                   1    11    40870.66719   292003.22442        1.8954402    3.1664228E-13              0.0              0.0              0.0        1.8954398              0.0              0.0   4.5649499E-7   2.4083853E-5
  NaN                   1    12    44957.73391   336960.95833        1.7702311    3.7914052E-13              0.0              0.0              0.0        1.7702306              0.0              0.0   4.5923184E-7   2.5941918E-5
  NaN                   1    13    49453.50730   386414.46563        1.6579279    2.6395617E-13              0.0              0.0              0.0        1.6579275              0.0              0.0   4.0360233E-7   2.4343783E-5
  NaN                   1    14    54398.85803   440813.32367        1.5565111    2.6050787E-13              0.0              0.0              0.0        1.5565107              0.0              0.0   3.5702389E-7   2.2937449E-5
  NaN                   1    15    59838.74384   500652.06750        1.4643878    2.1395100E-13              0.0              0.0              0.0        1.4643873              0.0              0.0   4.2007679E-7   2.8686176E-5
  NaN                   1    16    65822.61822   566474.68573        1.3802775    1.9208827E-13              0.0              0.0              0.0        1.3802772              0.0              0.0   3.1530539E-7   2.2843625E-5
  NaN                   1    17    72404.88004   638879.56577        1.3031335    2.6692133E-13              0.0              0.0              0.0        1.3031332              0.0              0.0   2.9727417E-7   2.2812260E-5
  NaN                   1    18    79645.36805   718524.93382        1.2320870    2.4230281E-13              0.0              0.0              0.0        1.2320867              0.0              0.0   2.9255910E-7   2.3745006E-5
  NaN                   1    19    87609.90485   806134.83867        1.1664097    1.7343221E-13              0.0              0.0              0.0        1.1664093              0.0              0.0   3.3288730E-7   2.8539487E-5
  NaN                   1    20    96370.89534   902505.73401        1.1054876    1.7350285E-13              0.0              0.0              0.0        1.1054874              0.0              0.0   2.5158514E-7   2.2757846E-5
  NaN                   1    21   106007.98487   1.0085137E+6        1.0488027    2.0354385E-13              0.0              0.0              0.0        1.0488024              0.0              0.0   2.3854203E-7   2.2744227E-5
  NaN                   1    22   116608.78336   1.1251225E+6        0.9959166    1.1693824E-13              0.0              0.0              0.0        0.9959164              0.0              0.0   2.3050865E-7   2.3145380E-5
  NaN                   1    23   128269.66169   1.2533922E+6        0.9464572    1.1819479E-13              0.0              0.0              0.0        0.9464569              0.0              0.0   2.1527336E-7   2.2745180E-5
  NaN                   1    24   141096.62786   1.3944888E+6        0.9001053    6.0554002E-14              0.0              0.0              0.0        0.9001051              0.0              0.0   2.0425761E-7   2.2692638E-5
  NaN                   1    25   155206.29065   1.5496951E+6        0.8565840    1.8773654E-13              0.0              0.0              0.0        0.8565838              0.0              0.0   1.9440286E-7   2.2695134E-5
  NaN                   1    26   170726.91972   1.7204220E+6        0.8156498    7.1981831E-14              0.0              0.0              0.0        0.8156496              0.0              0.0   1.8546416E-7   2.2738213E-5
  NaN                   1    27   187799.61169   1.9082216E+6        0.7770867    8.1396187E-14              0.0              0.0              0.0        0.7770865              0.0              0.0   1.7703345E-7   2.2781689E-5
  NaN                   1    28   206579.57286   2.1148012E+6        0.7407016    4.2378813E-14              0.0              0.0              0.0        0.7407014              0.0              0.0   1.6924408E-7   2.2849161E-5
  NaN                   1    29   227237.53014   2.3420387E+6        0.7063210    9.1256400E-14              0.0              0.0              0.0        0.7063208              0.0              0.0   1.6207200E-7   2.2945946E-5
  NaN                   1    30   249961.28316      2592000.0        0.6737884    6.2699297E-14              0.0              0.0              0.0        0.6737882              0.0              0.0   1.5492880E-7   2.2993692E-5
  NaN                   2     1    15757.41147   2.6077574E+6        0.6717664    2.2063812E-13              0.0              0.0              0.0        0.6717617              0.0              0.0   4.7153158E-6   7.0193033E-4
  NaN                   2     2    17333.15262   2.6250906E+6        0.6695620    1.7570744E-13              0.0              0.0              0.0        0.6695573              0.0              0.0   4.7011557E-6   7.0212647E-4
  NaN                   2     3    19066.46788   2.6441570E+6        0.6671662    1.1028356E-13              0.0              0.0              0.0        0.6671615              0.0              0.0   4.6857589E-6   7.0234009E-4
  NaN                   2     4    20973.11467   2.6651301E+6        0.6645649    1.3619889E-13              0.0              0.0              0.0        0.6645603              0.0              0.0   4.6690398E-6   7.0257336E-4
  NaN                   2     5    23070.42613   2.6882006E+6        0.6617439    1.3153806E-13              0.0              0.0              0.0        0.6617392              0.0              0.0   4.6507936E-6   7.0281117E-4
  NaN                   2     6    25377.46875   2.7135780E+6        0.6586838    2.3200988E-13              0.0              0.0              0.0        0.6586836              0.0              0.0   1.4240830E-7   2.1620135E-5
  NaN                   2     7    27915.21562   2.7414933E+6        0.6553782    1.1331466E-13              0.0              0.0              0.0        0.6553780              0.0              0.0   1.4175358E-7   2.1629283E-5
  NaN                   2     8    30706.73718   2.7722000E+6        0.6518071    1.8825974E-13              0.0              0.0              0.0        0.6518070              0.0              0.0   1.4104673E-7   2.1639338E-5
  NaN                   2     9    33777.41090   2.8059774E+6        0.6479552    9.7182529E-14              0.0              0.0              0.0        0.6479550              0.0              0.0   1.4027251E-7   2.1648493E-5
  NaN                   2    10    37155.15199   2.8431326E+6        0.6438067    8.0692311E-14              0.0              0.0              0.0        0.6438065              0.0              0.0   1.3945011E-7   2.1660250E-5
  NaN                   2    11    40870.66719   2.8840032E+6        0.6393463    8.5453452E-14              0.0              0.0              0.0        0.6393462              0.0              0.0   1.3856758E-7   2.1673324E-5
  NaN                   2    12    44957.73391   2.9289610E+6        0.6345593    8.0420154E-14              0.0              0.0              0.0        0.6345592              0.0              0.0   1.3762120E-7   2.1687683E-5
  NaN                   2    13    49453.50730   2.9784145E+6        0.6294314    7.8685770E-14              0.0              0.0              0.0        0.6294312              0.0              0.0   1.3658110E-7   2.1699127E-5
  NaN                   2    14    54398.85803   3.0328133E+6        0.6239492    5.7976900E-14              0.0              0.0              0.0        0.6239491              0.0              0.0   1.3548589E-7   2.1714251E-5
  NaN                   2    15    59838.74384   3.0926521E+6        0.6181007    7.7811495E-14              0.0              0.0              0.0        0.6181006              0.0              0.0   1.3429852E-7   2.1727613E-5
  NaN                   2    16    65822.61822   3.1584747E+6        0.6118751    4.4419299E-14              0.0              0.0              0.0        0.6118750              0.0              0.0   1.3304970E-7   2.1744587E-5
  NaN                   2    17    72404.88004   3.2308796E+6        0.6052633    4.3954508E-14              0.0              0.0              0.0        0.6052632              0.0              0.0   1.3172714E-7   2.1763611E-5
  NaN                   2    18    79645.36805   3.3105249E+6        0.5982582    6.2351744E-14              0.0              0.0              0.0        0.5982581              0.0              0.0   1.3020879E-7   2.1764648E-5
  NaN                   2    19    87609.90485   3.3981348E+6        0.5853049    3.8614666E-14              0.0              0.0              0.0        0.5908549        0.0055502              0.0   1.4564071E-7   2.4649145E-5
  NaN                   2    20    96370.89534   3.4945057E+6        0.5718038    4.1680498E-14              0.0              0.0              0.0        0.5830512        0.0112475              0.0   1.4760845E-7   2.5316546E-5
  NaN                   2    21   106007.98487   3.6005137E+6        0.5594135    2.1219163E-14              0.0              0.0              0.0        0.5748472        0.0154338              0.0   1.4967987E-7   2.6038200E-5
  NaN                   2    22   116608.78336   3.7171225E+6        0.5467260    4.3485093E-14              0.0              0.0              0.0        0.5662461        0.0195202              0.0   1.5135589E-7   2.6729701E-5
  NaN                   2    23   128269.66169   3.8453922E+6        0.5340372     5.0911758E-4              0.0              0.0              0.0        0.5572543        0.0237264              0.0   1.5246715E-7   2.7335448E-5
  NaN                   2    24   141096.62786   3.9864888E+6        0.5228371        0.0030556              0.0              0.0              0.0        0.5478823        0.0281010              0.0   1.5319935E-7   2.7807006E-5
  NaN                   2    25   155206.29065   4.1416951E+6        0.5119187        0.0066280              0.0              0.0              0.0        0.5381449        0.0328543              0.0   1.5340637E-7   2.8159691E-5
  NaN                   2    26   170726.91972   4.3124220E+6        0.5006091        0.0106438              0.0              0.0              0.0        0.5280626        0.0380975              0.0   1.4892964E-7   2.7645783E-5
