         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1    15757.41147    15757.41147       40.7349916    6.2894039E-13              0.0              0.0              0.0       40.7349916              0.0              0.0   1.3987595E-8   3.4338034E-8
  NaN                   1     2    17333.15262    33090.56409        6.1389467    7.1101559E-13              0.0              0.0              0.0        6.1389465              0.0              0.0   2.3854775E-7   3.8858092E-6
  NaN                   1     3    19066.46788    52157.03197        4.0140080    6.1276099E-13              0.0              0.0              0.0        4.0140080              0.0              0.0   4.9874810E-8   1.2425190E-6
  NaN                   1     4    20973.11467    73130.14664        3.5033978    6.1609974E-13              0.0              0.0              0.0        3.5033968              0.0              0.0   9.9961813E-7   2.8532822E-5
  NaN                   1     5    23070.42613    96200.57277        3.1397320    4.8151894E-13              0.0              0.0              0.0        3.1397312              0.0              0.0   8.8388563E-7   2.8151630E-5
  NaN                   1     6    25377.46875   121578.04152        2.8414045    5.9406269E-13              0.0              0.0              0.0        2.8414036              0.0              0.0   8.9296371E-7   3.1426847E-5
  NaN                   1     7    27915.21562   149493.25714        2.5914195    4.8004217E-13              0.0              0.0              0.0        2.5914188              0.0              0.0   6.7838306E-7   2.6178052E-5
  NaN                   1     8    30706.73718   180199.99433        2.3788972    4.5029009E-13              0.0              0.0              0.0        2.3788966              0.0              0.0   6.0609523E-7   2.5477995E-5
  NaN                   1     9    33777.41090   213977.40523        2.1958115    2.9478977E-13              0.0              0.0              0.0        2.1958110              0.0              0.0   5.7669768E-7   2.6263536E-5
  NaN                   1    10    37155.15199   251132.55722        2.0361627    3.5773687E-13              0.0              0.0              0.0        2.0361622              0.0              0.0   5.4003583E-7   2.6522236E-5
  NaN                   1    11    40870.66719   292003.22442        1.8954402    2.6700985E-13              0.0              0.0              0.0        1.8954398              0.0              0.0   4.5649512E-7   2.4083860E-5
  NaN                   1    12    44957.73391   336960.95833        1.7702311    2.6807607E-13              0.0              0.0              0.0        1.7702306              0.0              0.0   4.5923204E-7   2.5941929E-5
  NaN                   1    13    49453.50730   386414.46563        1.6579279    2.7274662E-13              0.0              0.0              0.0        1.6579275              0.0              0.0   4.0360242E-7   2.4343788E-5
  NaN                   1    14    54398.85803   440813.32367        1.5565111    2.5057198E-13              0.0              0.0              0.0        1.5565107              0.0              0.0   3.5702396E-7   2.2937453E-5
  NaN                   1    15    59838.74384   500652.06750        1.4643878    2.9714155E-13              0.0              0.0              0.0        1.4643873              0.0              0.0   4.2007667E-7   2.8686168E-5
  NaN                   1    16    65822.61822   566474.68573        1.3802775    2.0406646E-13              0.0              0.0              0.0        1.3802772              0.0              0.0   3.1530558E-7   2.2843639E-5
  NaN                   1    17    72404.88004   638879.56577        1.3031335    1.7786598E-13              0.0              0.0              0.0        1.3031332              0.0              0.0   2.9727421E-7   2.2812263E-5
  NaN                   1    18    79645.36805   718524.93382        1.2320870    1.8312260E-13              0.0              0.0              0.0        1.2320867              0.0              0.0   2.9255896E-7   2.3744995E-5
  NaN                   1    19    87609.90485   806134.83867        1.1664097    2.1969742E-13              0.0              0.0              0.0        1.1664093              0.0              0.0   3.3288728E-7   2.8539486E-5
  NaN                   1    20    96370.89534   902505.73401        1.1054876    2.4921205E-13              0.0              0.0              0.0        1.1054874              0.0              0.0   2.5158514E-7   2.2757846E-5
  NaN                   1    21   106007.98487   1.0085137E+6        1.0488027    1.8092340E-13              0.0              0.0              0.0        1.0488024              0.0              0.0   2.3854197E-7   2.2744221E-5
  NaN                   1    22   116608.78336   1.1251225E+6        0.9959166    1.9269925E-13              0.0              0.0              0.0        0.9959164              0.0              0.0   2.3050832E-7   2.3145347E-5
  NaN                   1    23   128269.66169   1.2533922E+6        0.9464572    1.6304768E-13              0.0              0.0              0.0        0.9464569              0.0              0.0   2.1527343E-7   2.2745187E-5
  NaN                   1    24   141096.62786   1.3944888E+6        0.9001053    3.1106502E-14              0.0              0.0              0.0        0.9001051              0.0              0.0   2.0425791E-7   2.2692671E-5
  NaN                   1    25   155206.29065   1.5496951E+6        0.8565840    6.8053627E-14              0.0              0.0              0.0        0.8565838              0.0              0.0   1.9440318E-7   2.2695172E-5
  NaN                   1    26   170726.91972   1.7204220E+6        0.8156498    9.1756682E-14              0.0              0.0              0.0        0.8156496              0.0              0.0   1.8546400E-7   2.2738193E-5
