         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           RCH_IN          RCH_OUT          MNW2_IN         MNW2_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1            1.0            1.0              0.0              0.0              0.0       4501.05159              0.0              0.0       4501.05159              0.0        0.9270705        0.9270705  6.5210770E-10  1.4484913E-11
  NaN                   2     1      2.0181105      3.0181105      21985.99303              0.0              0.0       4487.04463              0.0          12000.0       4501.05159              0.0              0.0          10000.0   4.2418833E-9  1.6014936E-11
  NaN                   2     2      2.6235437      5.6416542      21087.79340              0.0              0.0       4398.86893              0.0          12000.0       4501.05159              0.0              0.0       9189.97607   1.9099389E-9  7.4639511E-12
  NaN                   2     3      3.4106068      9.0522609      19098.10572              0.0              0.0       4138.81260              0.0          12000.0       4501.05159              0.0              0.0       7460.34471   2.5975169E-9  1.1006820E-11
  NaN                   2     4      4.4337888     13.4860497      17087.82588              0.0              0.0       3649.93522              0.0          12000.0       4500.99452              0.0              0.0       5938.88518  5.6752469E-10  2.6287897E-12
  NaN                   2     5      5.7639254     19.2499752      15023.66196              0.0              0.0       2979.41953              0.0          12000.0       4497.96954              0.0              0.0       4542.21198   7.5488060E-9  3.8668930E-11
  NaN                   2     6      7.4931031     26.7430782      12842.84849              0.0              0.0       2251.87732              0.0          12000.0       4345.42681              0.0              0.0       2936.39798   5.0386006E-9  2.9314172E-11
  NaN                   2     7      9.7410340     36.4841122       9394.75009              0.0              0.0       1600.67133              0.0          12000.0       4205.92123              0.0        168.87854        168.87854   2.2537279E-9  1.6367477E-11
  NaN                   2     8     12.6633442     49.1474564       8990.17346              0.0              0.0       1082.42115              0.0          12000.0       4092.24769              0.0        168.88485        168.88485   6.3537300E-9  4.7947953E-11
  NaN                   2     9     16.4623474     65.6098038       8851.41059              0.0              0.0        648.10705              0.0          12000.0       3796.69646              0.0        168.88625        168.88625   4.6948117E-9  3.6629587E-11
  NaN                   2    10     21.4010517     87.0108555       8802.11373              0.0              0.0        189.58542              0.0          12000.0       3387.47169              0.0        112.68872        112.68872   6.0008460E-9  4.8778348E-11
  NaN                   2    11     27.8213672      114.83222       8651.52331              0.0        506.63802              0.0              0.0          12000.0       2841.83867              0.0        112.68875        112.68875   4.2455213E-9  3.5050197E-11
  NaN                   2    12     36.1677773          151.0       7744.45770              0.0       2073.01020              0.0              0.0          12000.0       2182.53210              0.0       96.3843447       96.3843447  2.0372681E-10  1.6841959E-12
  NaN                   3     1      2.0181105      153.01811       5199.27600       9521.61831       2162.54492              0.0              0.0              0.0       2159.79739              0.0        0.1726882        0.1726882  8.9130481E-10  9.3606844E-12
  NaN                   3     2      2.6235437      155.64165       4135.47269       8554.12962       2281.59424              0.0              0.0              0.0       2137.06268              0.0        0.0012410        0.0012410  2.5102054E-10  2.9344949E-12
  NaN                   3     3      3.4106068      159.05226       2889.75428       7462.50805       2435.69110              0.0              0.0              0.0       2137.06268              0.0     7.6528419E-6     7.6528392E-6  6.3300831E-10  8.4825143E-12
  NaN                   3     4      4.4337888      163.48605       1807.10952       6564.27579       2620.10359              0.0              0.0              0.0       2137.06268              0.0     3.8591393E-8     3.8564982E-8   1.7034836E-9  2.5950823E-11
  NaN                   3     5      5.7639254      169.24998        919.67509       5863.73137       2806.99360              0.0              0.0              0.0       2137.06268              0.0    3.2311952E-10    3.2449508E-10  6.0299499E-10  1.0283469E-11
  NaN                   3     6      7.4931031      176.74308        278.28853       5354.44882       2939.09761              0.0              0.0              0.0       2137.06268              0.0    1.3466752E-10    1.3260418E-10  3.4560799E-10  6.4545950E-12
  NaN                   3     7      9.7410340      186.48411        3.7991565       3416.34599       2951.42216              0.0              0.0              0.0       2137.06268              0.0              0.0       1675.93800  2.2828317E-10  4.4829230E-12
  NaN                   3     8     12.6633442      199.14746              0.0       3268.18366       2807.05898              0.0              0.0              0.0       2137.06268              0.0              0.0       1675.93800  3.4651748E-10  7.0086763E-12
  NaN                   3     9     16.4623474      215.60980       47.4685944       2028.92587       2534.15820              0.0              0.0              0.0       2137.06268              0.0              0.0       2689.76360   4.6666173E-9  9.8896470E-11
  NaN                   3    10     21.4010517      237.01086              0.0       1546.38281       2202.71279              0.0              0.0              0.0       2137.06268              0.0              0.0       2793.39266   2.9804141E-9  6.8676690E-11
  NaN                   3    11     27.8213672      264.83222              0.0       1088.16310       1878.22785              0.0              0.0              0.0       2137.06268              0.0              0.0       2927.12743   4.8257789E-9  1.2018505E-10
  NaN                   3    12     36.1677773          301.0              0.0        695.60101       1602.54095              0.0              0.0              0.0       2137.06268              0.0              0.0       3044.00262  5.5479177E-10  1.4835577E-11
