DATE_START             PER    STP           DELT  WELLID        PUMPING_RATE_INI     PUMPING_RATE          RATE_IN         RATE_OUT        HEAD_WELL
0.0                      1      1            1.0  WELL-A                    0.0    1.3755108E-12        0.9269932        0.9269932        4.9322601
1.0                      2      1      2.0181105  WELL-A               -10000.0      -9999.99998              0.0       9999.99998       -6.5635229
3.0181105                2      2      2.6235437  WELL-A               -10000.0      -9189.96694              0.0       9189.96694             -7.5
5.6416542                2      3      3.4106068  WELL-A               -10000.0      -7460.32584              0.0       7460.32584             -7.5
9.0522609                2      4      4.4337888  WELL-A               -10000.0      -5938.87746              0.0       5938.87746             -7.5
13.4860497               2      5      5.7639254  WELL-A               -10000.0      -4542.20074              0.0       4542.20074             -7.5
19.2499752               2      6      7.4931031  WELL-A               -10000.0      -2936.39648              0.0       2936.39648             -7.5
26.7430782               2      7      9.7410340  WELL-A               -10000.0    -1.5195434E-5        168.87851        168.87852       -6.1535970
36.4841122               2      8     12.6633442  WELL-A               -10000.0    -3.0608581E-6        168.88487        168.88487       -7.1779139
49.1474564               2      9     16.4623474  WELL-A               -10000.0    -1.2837174E-6        168.88624        168.88624       -8.6936838
65.6098038               2     10     21.4010517  WELL-A               -10000.0     6.6960362E-6        112.68866        112.68865      -10.6279713
87.0108555               2     11     27.8213672  WELL-A               -10000.0     8.3606798E-7        112.68872        112.68872      -13.1292824
114.83222                2     12     36.1677773  WELL-A               -10000.0    6.3167249E-12       96.3842893       96.3842893      -16.0829415
151.0                    3      1      2.0181105  WELL-A               -10000.0     2.6906645E-6        0.1726079        0.1726053      -13.0848721
153.01811                3      2      2.6235437  WELL-A               -10000.0     9.9961685E-6        0.0010745        0.0010645      -11.4411409
155.64165                3      3      3.4106068  WELL-A               -10000.0    -1.0726941E-6     5.9147305E-5     6.0219999E-5      -10.0158060
159.05226                3      4      4.4337888  WELL-A               -10000.0    -7.0109260E-7     1.1189593E-4     1.1259703E-4       -8.6900939
163.48605                3      5      5.7639254  WELL-A               -10000.0    -8.9376224E-6     1.7363849E-4     1.8257611E-4       -7.4430240
169.24998                3      6      7.4931031  WELL-A               -10000.0    -1.8414196E-6     1.5721017E-4     1.5905159E-4       -6.2823369
176.74308                3      7      9.7410340  WELL-A               -10000.0      -1675.93624              0.0       1675.93624       -7.1439505
186.48411                3      8     12.6633442  WELL-A               -10000.0      -1675.93624              0.0       1675.93624       -6.6837215
199.14746                3      9     16.4623474  WELL-A               -10000.0      -2689.81506              0.0       2689.81506             -7.5
215.60980                3     10     21.4010517  WELL-A               -10000.0      -2793.38661              0.0       2793.38661             -7.5
237.01086                3     11     27.8213672  WELL-A               -10000.0      -2927.08839              0.0       2927.08839             -7.5
264.83222                3     12     36.1677773  WELL-A               -10000.0      -3043.93893              0.0       3043.93893             -7.5
