DATE_START             PER    STP           DELT  WELLID       PUMPING_RATE_INI           NOD_01           NOD_02           NOD_03           NOD_04           NOD_05           NOD_06           NOD_07           NOD_08           NOD_09           NOD_10           NOD_11           NOD_12
0.0                      1      1            1.0  WELL-A                    0.0       -0.3013521       -0.2378021       -0.1791289       -0.1230587       -0.0689944       -0.0166569        0.0341232        0.0834984        0.1316147        0.1787160        0.2253710        0.2736698
1.0                      2      1      2.0181105  WELL-A               -10000.0       -779.18467       -821.42907       -838.55399       -839.82445       -824.68909       -780.11895       -832.53941       -856.49900       -866.89891       -869.29112       -860.20545       -830.76590
3.0181105                2      2      2.6235437  WELL-A               -10000.0       -713.40636       -757.97918       -775.39730       -776.14424       -760.09948       -714.41928       -765.61723       -788.27617       -797.30248       -798.21918       -787.45047       -755.65556
5.6416542                2      3      3.4106068  WELL-A               -10000.0       -558.35239       -609.73624       -630.08194       -632.46600       -617.45683       -572.45857       -624.08610       -646.95897       -655.97637       -656.59871       -645.04777       -611.10586
9.0522609                2      4      4.4337888  WELL-A               -10000.0       -419.18814       -479.25632       -502.73241       -506.60523       -492.44011       -447.95528       -499.88094       -522.87571       -531.83402       -532.15990       -519.89635       -484.05302
13.4860497               2      5      5.7639254  WELL-A               -10000.0       -290.93059       -359.42355       -386.03058       -391.33825       -377.92793       -333.85866       -385.98822       -409.02031       -417.84856       -417.82723       -404.83527       -367.17157
19.2499752               2      6      7.4931031  WELL-A               -10000.0       -154.91784       -224.10246       -251.49474       -257.47738       -244.60082       -200.92930       -253.32448       -276.48178       -285.26625       -284.96048       -271.24614       -231.59481
26.7430782               2      7      9.7410340  WELL-A               -10000.0       87.2030206       18.0806115       -9.1840355      -14.9674104       -1.8093244       42.2417725       -9.6508618      -32.1420013      -40.0242493      -38.4323591      -22.6682707       21.3531079
36.4841122               2      8     12.6633442  WELL-A               -10000.0       87.2141122       18.0912196       -9.1743624      -14.9591455       -1.8029940       42.2457216       -9.6496696      -32.1440360      -40.0299620      -38.4421331      -22.6825458       21.3337949
49.1474564               2      9     16.4623474  WELL-A               -10000.0       87.2164780       18.0935393       -9.1722909      -14.9574092       -1.8016574       42.2466094       -9.6493921      -32.1444732      -40.0311948      -38.4442509      -22.6855997       21.3296415
65.6098038               2     10     21.4010517  WELL-A               -10000.0              0.0       27.6922153       -0.7175846       -6.9137629        6.0319097       49.9557350       -2.0186065      -24.5625076      -32.4754611      -30.8927636      -15.1079978       29.0088241
87.0108555               2     11     27.8213672  WELL-A               -10000.0              0.0       27.6922656       -0.7175915       -6.9138371        6.0317845       49.9556081       -2.0186994      -24.5625742      -32.4754680      -30.8926961      -15.1078521       29.0090603
114.83222                2     12     36.1677773  WELL-A               -10000.0              0.0              0.0        2.4915811       -4.0180260        8.8170063       52.6842738        0.6767432      -21.8871898      -29.8109565      -28.2307207      -12.4374098       31.7146983
151.0                    3      1      2.0181105  WELL-A               -10000.0              0.0              0.0        0.0526749        0.0445275        0.0360719        0.0264686        0.0129023       -0.0018571       -0.0173451       -0.0335039       -0.0505206       -0.0694184
153.01811                3      2      2.6235437  WELL-A               -10000.0              0.0     3.5574639E-4     2.6585690E-4     2.1057136E-4     1.4584790E-4     8.9752019E-5     9.6839476E-6    -6.8880840E-5    -1.3600927E-4    -2.1538400E-4    -2.8646333E-4    -3.7072106E-4
155.64165                3      3      3.4106068  WELL-A               -10000.0              0.0     3.6700350E-5     1.9465520E-5     2.7803869E-6     8.0464728E-6    -1.1963280E-5    -1.0632589E-5    -1.1467863E-5    -2.2250769E-5    -9.0591026E-6     3.5327511E-6    -5.1518759E-6
159.05226                3      4      4.4337888  WELL-A               -10000.0              0.0    -2.2606130E-5    -3.4427734E-5    -2.3361297E-5    -1.6354599E-5     1.1074430E-5     1.7901726E-5     1.3845236E-5     2.4327349E-5     2.4384429E-5     4.2569383E-5    -3.7352790E-5
163.48605                3      5      5.7639254  WELL-A               -10000.0     5.3260742E-5     1.1052662E-5     1.1037797E-5     4.3231617E-7    -3.3869184E-7     9.8955101E-6     9.3644528E-6    -1.2997046E-5    -2.3007836E-5    -9.0012211E-6    -1.5642509E-5    -3.4056175E-5
169.24998                3      6      7.4931031  WELL-A               -10000.0    -5.7053336E-5    -3.2622866E-5    -3.2470299E-5    -2.3452935E-5    -5.0326373E-6    -1.3687719E-5    -1.4294075E-5     3.9042980E-6     1.7209921E-5     4.5687901E-5     4.4093859E-5     6.7717889E-5
176.74308                3      7      9.7410340  WELL-A               -10000.0       -138.00241       -138.04768       -138.13953       -138.28085       -138.47666       -138.73502       -139.06904       -139.50092       -140.07119       -140.86359       -142.09477       -144.65490
186.48411                3      8     12.6633442  WELL-A               -10000.0       -138.00097       -138.04632       -138.13827       -138.27979       -138.47585       -138.73450       -139.06888       -139.50121       -140.07192       -140.86486       -142.09664       -144.65738
199.14746                3      9     16.4623474  WELL-A               -10000.0       -221.48684       -221.55950       -221.70701       -221.93406       -222.24862       -222.66364       -223.20014       -223.89381       -224.80957       -226.08201       -228.05871       -232.16833
215.60980                3     10     21.4010517  WELL-A               -10000.0       -230.01453       -230.09005       -230.24334       -230.47919       -230.80599       -231.23715       -231.79450       -232.51509       -233.46634       -234.78798       -236.84109       -241.10925
237.01086                3     11     27.8213672  WELL-A               -10000.0       -241.02391       -241.10301       -241.26361       -241.51084       -241.85322       -242.30500       -242.88906       -243.64413       -244.64095       -246.02587       -248.17726       -252.64977
264.83222                3     12     36.1677773  WELL-A               -10000.0       -250.64570       -250.72799       -250.89498       -251.15207       -251.50819       -251.97798       -252.58535       -253.37057       -254.40720       -255.84746       -258.08477       -262.73591
