DATE_START             PER    STP           DELT  WELLID       PUMPING_RATE_INI     PUMPING_RATE        HEAD_WELL
0.0                      1      1            1.0  WELL-A                    0.0    1.3755108E-12        4.9322601
1.0                      2      1      2.0181105  WELL-A               -10000.0     -10000.00000       -6.5635229
3.0181105                2      2      2.6235437  WELL-A               -10000.0      -9189.96694             -7.5
5.6416542                2      3      3.4106068  WELL-A               -10000.0      -7460.32574             -7.5
9.0522609                2      4      4.4337888  WELL-A               -10000.0      -5938.87744             -7.5
13.4860497               2      5      5.7639254  WELL-A               -10000.0      -4542.20071             -7.5
19.2499752               2      6      7.4931031  WELL-A               -10000.0      -2936.39648             -7.5
26.7430782               2      7      9.7410340  WELL-A               -10000.0   -1.6520119E-12       -6.1535970
36.4841122               2      8     12.6633442  WELL-A               -10000.0    1.6697754E-13       -7.1779133
49.1474564               2      9     16.4623474  WELL-A               -10000.0   -2.1920243E-12       -8.6936833
65.6098038               2     10     21.4010517  WELL-A               -10000.0    2.4797941E-12      -10.6279702
87.0108555               2     11     27.8213672  WELL-A               -10000.0   -1.0942358E-12      -13.1292818
114.83222                2     12     36.1677773  WELL-A               -10000.0   -3.8511416E-12      -16.0829416
151.0                    3      1      2.0181105  WELL-A               -10000.0    5.2271104E-12      -13.0848713
153.01811                3      2      2.6235437  WELL-A               -10000.0    4.6769111E-12      -11.4411397
155.64165                3      3      3.4106068  WELL-A               -10000.0    2.4760116E-12      -10.0158053
159.05226                3      4      4.4337888  WELL-A               -10000.0    2.4760116E-12       -8.6900953
163.48605                3      5      5.7639254  WELL-A               -10000.0    1.1004496E-12       -7.4430252
169.24998                3      6      7.4931031  WELL-A               -10000.0    1.6506744E-12       -6.2823387
176.74308                3      7      9.7410340  WELL-A               -10000.0      -1675.93659       -7.1439531
186.48411                3      8     12.6633442  WELL-A               -10000.0      -1675.93659       -6.6837260
199.14746                3      9     16.4623474  WELL-A               -10000.0      -2689.81223             -7.5
215.60980                3     10     21.4010517  WELL-A               -10000.0      -2793.38450             -7.5
237.01086                3     11     27.8213672  WELL-A               -10000.0      -2927.08662             -7.5
264.83222                3     12     36.1677773  WELL-A               -10000.0      -3043.93818             -7.5
