         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1      2628000.0      2628000.0              0.0              0.0              0.0              0.0              0.0             20.0        0.2099453        0.2611847       44.1565717       12.1456830        8.4750000              0.0              0.0       20.4351480              0.0              0.0   4.9873770E-4  -9.4383238E-4
  NaN                   2     1    82713.08566   2.7107131E+6     4.9453304E-5        8.0428651              0.0              0.0              0.0             20.0        0.2097842        0.2612699       44.0875954       12.1716423        9.7290637              0.0              0.0       13.5414024              0.0              0.0      0.0093130      0.0172393
  NaN                   2     2    90984.39423   2.8016975E+6     4.3101306E-5        7.8287800              0.0              0.0              0.0             20.0        0.2096272        0.2613591       44.0198142       12.1986519        9.6231369              0.0              0.0       13.5550200              0.0              0.0      0.0088104      0.0163615
  NaN                   2     3   100082.83365   2.9017803E+6     3.2635230E-5        7.6101929              0.0              0.0              0.0             20.0        0.2094758        0.2614520       43.9537954       12.2265862        9.5124844              0.0              0.0       13.5692527              0.0              0.0      0.0083044      0.0154727
  NaN                   2     4   110091.11701   3.0118714E+6     2.1379956E-5        7.3881428              0.0              0.0              0.0             20.0        0.2093316        0.2615480       43.8900985       12.2552421        9.3973505              0.0              0.0       13.5840700              0.0              0.0      0.0077992      0.0145798
  NaN                   2     5   121100.22871   3.1329717E+6     1.8272534E-5        7.1638061              0.0              0.0              0.0             20.0        0.2091960        0.2616465       43.8292391       12.2843760        9.2780837              0.0              0.0       13.5994199              0.0              0.0      0.0072885      0.0136713
  NaN                   2     6   133210.25159   3.2661819E+6     1.6720216E-5        6.9383673              0.0              0.0              0.0             20.0        0.2090701        0.2617468       43.7716659       12.3137069        9.1550969              0.0              0.0       13.6152339              0.0              0.0      0.0067947      0.0127883
  NaN                   2     7   146531.27674   3.4127132E+6     1.3987809E-5        6.7115540              0.0              0.0              0.0             20.0        0.2089550        0.2618478       43.7177392       12.3429232        9.0273761              0.0              0.0       13.6314449              0.0              0.0      0.0063143      0.0119248
  NaN                   2     8   161184.40442   3.5738976E+6     1.1734167E-5        6.4692138              0.0              0.0              0.0             20.0        0.2088514        0.2619484       43.6677921       12.3716558        8.8922093              0.0              0.0       13.6479657              0.0              0.0      0.0180807      0.0342698
  NaN                   2     9   177302.84486   3.7512004E+6        0.0023322        6.4694853              0.0              0.0              0.0             20.0        0.2087599        0.2620479       43.6221691       12.4318476        9.0146876              0.0              0.0       13.6653577              0.0              0.0      0.0192102      0.0363566
