         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           FHB_IN          FHB_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1           40.0           40.0              0.0       2099.66632              0.0        158.70516       2260.58632              0.0      2.2148406      0.0980244
  NaN                   1     2           40.0           80.0              0.0       2133.23444              0.0        646.24014       2781.75896              0.0      2.2843729      0.0821535
  NaN                   1     3           40.0          120.0              0.0       2114.13020              0.0       1186.54291       3302.93160              0.0      2.2584877      0.0684017
  NaN                   1     4           40.0          160.0              0.0       2093.96310              0.0       1727.90680       3824.10423              0.0      2.2343382      0.0584448
  NaN                   1     5           40.0          200.0              0.0       2079.49912              0.0       2263.56003       4345.27687              0.0      2.2177212      0.0510505
  NaN                   1     6           40.0          240.0              0.0       2069.88999              0.0       2794.35271       4866.44951              0.0      2.2068138      0.0453578
  NaN                   1     7           40.0          280.0              0.0       2063.62815              0.0       3321.79427       5387.62215              0.0      2.1997296      0.0408377
  NaN                   1     8           40.0          320.0              0.0       2224.25493              0.0       3650.32394       5876.90569              0.0      2.3268133      0.0396003
  NaN                   1     9           40.0          360.0              0.0       2359.38324              0.0       3570.87871       5931.81818              0.0      1.5562314      0.0262388
  NaN                   1    10           40.0          400.0              0.0       2264.60744              0.0       3582.31535       5849.17355              0.0      2.2507670      0.0384875
  NaN                   2     1           50.0          450.0              0.0       2184.85980              0.0       3567.86346       5756.19835              0.0      3.4750856      0.0603894
  NaN                   2     2           50.0          500.0              0.0       2128.97628              0.0       3520.54360       5652.89256              0.0      3.3726767      0.0596807
  NaN                   2     3           50.0          550.0              0.0       2095.22862              0.0       3451.04713       5549.58678              0.0      3.3110291      0.0596804
  NaN                   2     4           50.0          600.0              0.0       2075.07698              0.0       3367.92973       5446.28099              0.0      3.2742796      0.0601376
  NaN                   3     1     51.8429521      651.84295              0.0       2063.92288              0.0       3273.43130       5341.07133              0.0      3.7171532      0.0696199
  NaN                   3     2     57.0272474      708.87020              0.0       2058.80456              0.0       3164.61295       5228.60212              0.0      5.1846062      0.0992077
  NaN                   3     3     62.7299721      771.60017              0.0       2055.71951              0.0       3042.07179       5104.88598              0.0      7.0946831      0.1390749
  NaN                   3     4     69.0029693      840.60314        369.08962        241.75911              0.0       5461.24667       5346.85431              0.0     12.9381570      0.2266085
  NaN                   3     5     75.9032662      916.50641       1390.91366       22.6514081              0.0       8050.27576       6675.68945              0.0      6.3240548      0.0783673
  NaN                   3     6     83.4935929     1000.00000       1836.92047              0.0              0.0      10050.32679       8201.01825              0.0     12.3880728      0.1233364
