         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1      8.8237829      8.8237829      17738.04382              0.0       4861.09732      48316.38754      25717.24087              0.0      0.0055375   1.1460961E-5
  NaN                   1     2     13.2356743     22.0594571       2000.26335              0.0      12802.09348      27197.90287      12395.61461              0.0      0.0685764   2.5213840E-4
  NaN                   1     3     19.8535114     41.9129685        528.31189              0.0      17338.59505      22661.39066       4794.51010              0.0      0.0263761   1.1639223E-4
  NaN                   1     4     29.7802671     71.6932357        151.46369              0.0      19185.19148      20814.79844       1478.15812              0.0      0.0148602   7.1392241E-5
  NaN                   1     5     44.6704007      116.36364       34.5989523              0.0      19812.21087      20187.78155        340.97427              0.0      0.0025416   1.2589602E-5
  NaN                   1     6     67.0056010      183.36924        5.7636047              0.0      19968.68490      20031.31312       56.8654577              0.0   8.4368945E-4   4.2118528E-6
  NaN                   1     7      100.50840      283.87764        0.6786523              0.0      19996.31802      20003.68208        6.6966650              0.0      0.0112569   5.6273959E-5
  NaN                   1     8      150.76260      434.64024        0.0554351              0.0      19999.69420      20000.29161        0.5470288              0.0      0.0050511   2.5254953E-5
  NaN                   1     9      226.14390      660.78414        0.0030640              0.0      19999.98186      20000.01546        0.0302030              0.0   3.3159293E-4   1.6579634E-6
  NaN                   1    10      339.21586         1000.0     1.6416314E-5     1.3959677E-8      19999.98512      20000.01336     1.6332356E-4              0.0      0.0280670   1.4033524E-4
  NaN                   2     1      8.8237829     1008.82378     5.1192632E-4     4.2552290E-8      19999.98735      20000.01171        0.0050876              0.0      0.0187568   9.3783870E-5
  NaN                   2     2     13.2356743     1022.05946     2.9829490E-4              0.0      19999.98916      20000.01025        0.0029599              0.0      0.0178254   8.9126878E-5
  NaN                   2     3     19.8535114     1041.91297     1.7328702E-4              0.0      19999.99067      20000.00894        0.0017165              0.0      0.0163825   8.1912657E-5
  NaN                   2     4     29.7802671     1071.69324     1.0057299E-4              0.0      19999.99195      20000.00779        0.0009945              0.0      0.0147454   7.3727058E-5
  NaN                   2     5     44.6704007     1116.36364     5.8291420E-5              0.0      19999.99305      20000.00678     5.7539631E-4              0.0      0.0130985   6.5492303E-5
  NaN                   2     6     67.0056010     1183.36924     3.3751890E-5              0.0      19999.99399      20000.00589     3.3258333E-4              0.0      0.0115371   5.7685298E-5
  NaN                   2     7      100.50840     1283.87764     1.9528650E-5              0.0      19999.99480      20000.00511     1.9209426E-4              0.0      0.0101056   5.0528199E-5
  NaN                   2     8      150.76260     1434.64024     1.1293389E-5              0.0      19999.99549      20000.00444     1.1089364E-4              0.0      0.0088197   4.4098300E-5
  NaN                   2     9      226.14390     1660.78414     6.5286632E-6              0.0      19999.99610      20000.00385     6.3995213E-5              0.0      0.0076789   3.8394343E-5
  NaN                   2    10      339.21586     2000.00000     3.7733051E-6              0.0      19999.99662      20000.00334     3.6922144E-5              0.0      0.0066750   3.3375136E-5
  NaN                   3     1      8.8237829     2008.82378     1.2206937E-4              0.0      19999.99706      20000.00291        0.0011920              0.0      0.0045325   2.2662280E-5
  NaN                   3     2     13.2356743     2022.05946     7.1594033E-5              0.0      19999.99745      20000.00253     6.9803300E-4              0.0      0.0043117   2.1558673E-5
  NaN                   3     3     19.8535114     2041.91297     4.1753473E-5              0.0      19999.99778      20000.00219     4.0644131E-4              0.0      0.0039636   1.9818227E-5
  NaN                   3     4     29.7802671     2071.69324     2.4273946E-5              0.0      19999.99808      20000.00190     2.3590381E-4              0.0      0.0035678   1.7839130E-5
  NaN                   3     5     44.6704007     2116.36364     1.4081794E-5              0.0      19999.99833      20000.00165     1.3662499E-4              0.0      0.0031693   1.5846411E-5
  NaN                   3     6     67.0056010     2183.36924     8.1576564E-6              0.0      19999.99855      20000.00143     7.9014615E-5              0.0      0.0027914   1.3956992E-5
  NaN                   3     7      100.50840     2283.87764     4.7213634E-6              0.0      19999.99875      20000.00124     4.5653525E-5              0.0      0.0024450   1.2224988E-5
  NaN                   3     8      150.76260     2434.64024     2.7308701E-6              0.0      19999.99891      20000.00108     2.6361476E-5              0.0      0.0021338   1.0669127E-5
  NaN                   3     9      226.14390     2660.78414     1.5789080E-6              0.0      19999.99906      20000.00093     1.5215479E-5              0.0      0.0018578   9.2890389E-6
  NaN                   3    10      339.21586         3000.0     9.1263039E-7              0.0      19999.99918      20000.00081     8.7797693E-6              0.0      0.0016149   8.0746955E-6
