         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT            ET_IN           ET_OUT           RCH_IN          RCH_OUT           FHB_IN          FHB_OUT           LAK_IN          LAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1     16.0137177     16.0137177       2067.03606     5.4869297E+6     3.8440017E+6              0.0              0.0              0.0        1740000.0              0.0              0.0              0.0              0.0      99139.01836      0.0358782   6.4227987E-7
  NaN                   1     2     16.3339920     32.3477097              0.0     4.9766810E+6     3.3409256E+6              0.0              0.0       4795.14804        1740000.0              0.0              0.0              0.0              0.0      99448.43746      1.0558936   2.0781523E-5
  NaN                   1     3     16.6606719     49.0083816              0.0     4.4255340E+6     2.8166360E+6              0.0              0.0      27932.70705        1740000.0              0.0              0.0              0.0              0.0     103169.27285      0.1016571   2.2309671E-6
  NaN                   1     4     16.9938853     66.0022669              0.0     3.9018559E+6     2.3499777E+6              0.0              0.0      80325.19932        1740000.0              0.0              0.0              0.0              0.0     107796.93842      0.2781266  -6.8001973E-6
  NaN                   1     5     17.3337630     83.3360300              0.0     3.4393822E+6     1.9654705E+6              0.0              0.0     152907.22824        1740000.0              0.0              0.0              0.0              0.0     113181.65043      0.5464896  -1.4748184E-5
  NaN                   1     6     17.6804383      101.01647              0.0     3.0429925E+6     1.6621038E+6              0.0              0.0     239857.81978        1740000.0              0.0              0.0              0.0              0.0     119254.19174      0.6750165  -1.9841148E-5
  NaN                   1     7     18.0340471      119.05052              0.0     2.7284959E+6     1.4229364E+6              0.0              0.0     308447.14158        1740000.0              0.0              0.0              0.0              0.0     125994.19537      0.8057789  -2.5475657E-5
  NaN                   1     8     18.3947280      137.44524              0.0     2.4652237E+6     1.2320810E+6              0.0              0.0     373452.85290        1740000.0              0.0              0.0              0.0              0.0     133405.28244      0.8728262  -2.9367506E-5
  NaN                   1     9     18.7626226      156.20787              0.0     2.2383425E+6     1.0772277E+6              0.0              0.0     437391.02131        1740000.0              0.0              0.0              0.0              0.0     141495.16245      0.9684708  -3.4376726E-5
  NaN                   1    10     19.1378750      175.34574              0.0     2.0389794E+6     949367.15042              0.0              0.0     500129.26107        1740000.0              0.0              0.0              0.0              0.0     150259.60989      1.0902942  -4.0540912E-5
  NaN                   1    11     19.5206325      194.86637              0.0     1.8530470E+6     842405.04359              0.0              0.0     569690.51022        1740000.0              0.0              0.0              0.0              0.0     159668.73471      1.1758361  -4.5532588E-5
  NaN                   1    12     19.9110452      214.77742              0.0     1.6759969E+6     752157.78248              0.0              0.0     646511.11308        1740000.0              0.0              0.0              0.0              0.0     169650.80875      1.0488252  -4.2085015E-5
  NaN                   1    13     20.3092661      235.08668              0.0     1.5149587E+6     675426.01755              0.0              0.0     720384.74404        1740000.0              0.0              0.0              0.0              0.0     180083.63646      1.0921845  -4.5217046E-5
  NaN                   1    14     20.7154514      255.80214              0.0     1.3675582E+6     609709.66890              0.0              0.0     791359.88889        1740000.0              0.0              0.0              0.0              0.0     190792.76725      1.1481047  -4.8861543E-5
  NaN                   1    15     21.1297604      276.93190              0.0     1.2267509E+6     553691.65893        591.26539              0.0     864808.19047        1740000.0              0.0              0.0              0.0              0.0     201542.39059      1.0527928  -4.5899479E-5
  NaN                   1    16     21.5523556      298.48425              0.0     1.0938370E+6     505260.90445       1121.57291              0.0     938276.24884        1740000.0              0.0              0.0              0.0              0.0     212027.12366      1.0143556  -4.5177619E-5
  NaN                   1    17     21.9834027      320.46765              0.0     970693.71376     463244.94904       1562.81927              0.0     1.0091031E+6        1740000.0              0.0              0.0              0.0              0.0     221886.50852      1.2289026  -5.5776922E-5
  NaN                   1    18     22.4230708      342.89073              0.0     859315.92332     426732.29360       1932.37984              0.0     1.0747167E+6        1740000.0              0.0              0.0              0.0              0.0     230768.21384      0.9616528  -4.4382620E-5
  NaN                   1    19     22.8715322      365.76226              0.0     756437.01393     394968.93816       2243.56490              0.0     1.1379821E+6        1740000.0              0.0              0.0              0.0              0.0     238307.22513      0.9934974  -4.6534501E-5
