         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           DRN_IN          DRN_OUT           RCH_IN          RCH_OUT          MNW1_IN         MNW1_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1     2988.88773     2988.88773              0.0              0.0              0.0     1.7811259E+6              0.0     948872.55349        2730000.0              0.0      20080.43970      20080.43970      1.5298245   5.5628368E-5
  NaN                   1     2     3885.55405     6874.44179              0.0              0.0              0.0     1.7811260E+6              0.0     948872.61624        2730000.0              0.0      20080.45446      20080.45446      1.3504278   4.9105042E-5
  NaN                   1     3     5051.22027    11925.66205              0.0              0.0              0.0     1.7811262E+6              0.0     948872.66135        2730000.0              0.0      20080.46802      20080.46802      1.1784115   4.2850084E-5
  NaN                   1     4     6566.58635    18492.24840              0.0              0.0              0.0     1.7811263E+6              0.0     948872.70693        2730000.0              0.0      20080.47492      20080.47492      1.0277506   3.7371664E-5
  NaN                   1     5     8536.56225    27028.81066              0.0              0.0              0.0     1.7811264E+6              0.0     948872.74002        2730000.0              0.0      20080.48076      20080.48076      0.8956354   3.2567612E-5
  NaN                   1     6    11097.53093    38126.34159              0.0              0.0              0.0     1.7811264E+6              0.0     948872.77531        2730000.0              0.0      20080.48380      20080.48380      0.7811148   2.8403346E-5
  NaN                   1     7    14426.79021    52553.13180              0.0              0.0              0.0     1.7811265E+6              0.0     948872.80091        2730000.0              0.0      20080.48766      20080.48766      0.6823514   2.4812055E-5
  NaN                   1     8    18754.82727    71307.95907              0.0              0.0              0.0     1.7811266E+6              0.0     948872.82897        2730000.0              0.0      20080.48962      20080.48962      0.5956572   2.1659632E-5
  NaN                   1     9    24381.27545    95689.23453              0.0              0.0              0.0     1.7811266E+6              0.0     948872.84916        2730000.0              0.0      20080.49243      20080.49243      0.5217127   1.8970818E-5
  NaN                   1    10    31695.65809   127384.89262              0.0              0.0              0.0     1.7811267E+6              0.0     948872.87164        2730000.0              0.0      20080.49375      20080.49375      0.4559225   1.6578515E-5
  NaN                   1    11    41204.35552   168589.24813              0.0              0.0              0.0     1.7811267E+6              0.0     948872.88765        2730000.0              0.0      20080.49583      20080.49583      0.4003558   1.4557966E-5
  NaN                   1    12    53565.66217   222154.91031              0.0              0.0              0.0     1.7811267E+6              0.0     948872.90572        2730000.0              0.0      20080.49674      20080.49674      0.3502567   1.2736236E-5
  NaN                   1    13    69635.36083   291790.27113              0.0              0.0              0.0     1.7811268E+6              0.0     948872.91844        2730000.0              0.0      20080.49832      20080.49832      0.3083307   1.1211700E-5
  NaN                   1    14    90525.96907   382316.24021              0.0              0.0              0.0     1.7811268E+6              0.0     948872.93298        2730000.0              0.0      20080.49896      20080.49896      0.2700394   9.8193262E-6
  NaN                   1    15   117683.75979   500000.00000              0.0              0.0              0.0     1.7811268E+6              0.0     948872.94309        2730000.0              0.0      20080.50016      20080.50016      0.2382759   8.6643263E-6
  NaN                   2     1     2988.88773   502988.88773              0.0              0.0              0.0     1.1465714E+6              0.0     646806.63206        2730000.0              0.0        144.15390     936765.62426      0.4986435   1.8264366E-5
  NaN                   2     2     3885.55405   506874.44179              0.0              0.0              0.0     1.1465714E+6              0.0     646806.67541        2730000.0              0.0        144.16678     936765.57003      0.5144688   1.8844019E-5
  NaN                   2     3     5051.22027   511925.66205              0.0              0.0              0.0     1.1465714E+6              0.0     646806.72303        2730000.0              0.0        144.16972     936765.54292      0.4898286   1.7941492E-5
  NaN                   2     4     6566.58635   518492.24840              0.0              0.0              0.0     1.1465714E+6              0.0     646806.75767        2730000.0              0.0        144.17496     936765.53979      0.4504909   1.6500628E-5
  NaN                   2     5     8536.56225   527028.81066              0.0              0.0              0.0     1.1465714E+6              0.0     646806.79566        2730000.0              0.0        144.17729     936765.53734      0.4087054   1.4970104E-5
  NaN                   2     6    11097.53093   538126.34159              0.0              0.0              0.0     1.1465714E+6              0.0     646806.82344        2730000.0              0.0        144.18048     936765.53955      0.3701212   1.3556838E-5
  NaN                   2     7    14426.79021   552553.13180              0.0              0.0              0.0     1.1465715E+6              0.0     646806.85412        2730000.0              0.0        144.18182     936765.54003      0.3327425   1.2187727E-5
  NaN                   2     8    18754.82727   571307.95907              0.0              0.0              0.0     1.1465715E+6              0.0     646806.87643        2730000.0              0.0        144.18404     936765.54283      0.3000102   1.0988803E-5
  NaN                   2     9    24381.27545   595689.23453              0.0              0.0              0.0     1.1465715E+6              0.0     646806.90121        2730000.0              0.0        144.18490     936765.54383      0.2687830   9.8450121E-6
  NaN                   2    10    31695.65809   627384.89262              0.0              0.0              0.0     1.1465715E+6              0.0     646806.91910        2730000.0              0.0        144.18654     936765.54649      0.2418540   8.8586543E-6
  NaN                   2    11    41204.35552   668589.24813              0.0              0.0              0.0     1.1465715E+6              0.0     646806.93910        2730000.0              0.0        144.18712     936765.54756      0.2162314   7.9201468E-6
  NaN                   2    12    53565.66217   722154.91031              0.0              0.0              0.0     1.1465715E+6              0.0     646806.95341        2730000.0              0.0        144.18837     936765.54992      0.1943418   7.1183701E-6
  NaN                   2    13    69635.36083   791790.27113              0.0              0.0              0.0     1.1465715E+6              0.0     646806.96953        2730000.0              0.0        144.18877     936765.55094      0.1734999   6.3549727E-6
  NaN                   2    14    90525.96907   882316.24021              0.0              0.0              0.0     1.1465715E+6              0.0     646806.98097        2730000.0              0.0        144.18974     936765.55298      0.1558288   5.7077130E-6
  NaN                   2    15   117683.75979      1000000.0              0.0              0.0              0.0     1.1465715E+6              0.0     646806.99394        2730000.0              0.0        144.19003     936765.55389      0.1389680   5.0901357E-6
  NaN                   3     1      0.3586665   1.0000004E+6     1.9699681E+6      14434.53120              0.0     1.1456295E+6              0.0     646158.91175        779756.25              0.0        127.30079     943628.69226      0.0245812   8.9390961E-7
  NaN                   3     2      0.4662665   1.0000008E+6     1.9665719E+6      13593.81549              0.0     1.1443564E+6              0.0     645328.85895        779756.25              0.0        115.55661     943165.37891      0.7298589  -2.6574687E-5
