         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1            1.0            1.0              0.0              0.0              0.0      39592.00295          39600.0              0.0              0.0              0.0      7.9970477      0.0201966
  NaN                   2     1         365.25         366.25     140781.47955              0.0              0.0      39553.46635          39600.0         144000.0       3172.00371              0.0      0.0169084   9.2117027E-6
  NaN                   2     2         365.25          731.5     142760.19925              0.0              0.0      39518.04350          39600.0         144000.0       1158.02492              0.0      0.1806589   9.8441982E-5
  NaN                   2     3         365.25        1096.75     142799.37555              0.0              0.0      39472.42584          39600.0         144000.0       1073.18413              0.0      0.1338361   7.2946155E-5
  NaN                   2     4         365.25         1462.0     142576.30705              0.0              0.0      39415.14742          39600.0         144000.0       1238.94218              0.0      0.1018162   5.5511344E-5
  NaN                   2     5         365.25        1827.25     142388.69296              0.0              0.0      39345.80054          39600.0         144000.0       1357.17890              0.0      0.0713209   3.8899679E-5
  NaN                   2     6         365.25         2192.5     142231.47166              0.0              0.0      39264.25037          39600.0         144000.0       1432.82482              0.0      0.0461079   2.5159218E-5
  NaN                   2     7         365.25        2557.75     142205.98524              0.0              0.0      39170.57726          39600.0         144000.0       1364.61819              0.0      0.0261705   1.4287499E-5
  NaN                   2     8         365.25         2923.0     142149.32429              0.0              0.0      39065.02755          39600.0         144000.0       1315.71044              0.0      0.0071752   3.9194774E-6
  NaN                   2     9         365.25        3288.25     142068.94777              0.0              0.0      38947.97779          39600.0         144000.0       1279.01896              0.0      0.0110645  -6.0478724E-6
  NaN                   2    10         365.25         3653.5     141969.50814              0.0              0.0      38819.90122          39600.0         144000.0       1250.36450              0.0      0.0285842  -1.5635178E-5
  NaN                   2    11         365.25        4018.75     141854.09420              0.0              0.0      38681.33864          39600.0         144000.0       1227.19907              0.0      0.0453661  -2.4833461E-5
  NaN                   2    12         365.25         4384.0     141724.89759              0.0              0.0      38532.87388          39600.0         144000.0       1207.91492              0.0      0.0613799  -3.3626778E-5
  NaN                   2    13         365.25        4749.25     141583.57471              0.0              0.0      38375.11411          39600.0         144000.0       1191.46280              0.0      0.0766014  -4.2002102E-5
  NaN                   2    14         365.25         5114.5     141431.44742              0.0              0.0      38208.67415          39600.0         144000.0       1177.13571              0.0      0.0910181  -4.9952688E-5
  NaN                   2    15         365.25        5479.75     141269.61711              0.0              0.0      38034.16461          39600.0         144000.0       1164.44287              0.0      0.1046306  -5.7478565E-5
