         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1    15757.41147    15757.41147       40.2499537              0.0              0.0              0.0              0.0       40.2499533              0.0              0.0   3.5401857E-7   8.7955027E-7
  NaN                   1     2    17333.15262    33090.56409        5.7354107              0.0              0.0              0.0              0.0        5.7354110              0.0              0.0   3.4126228E-7   5.9500930E-6
  NaN                   1     3    19066.46788    52157.03197        3.7319343              0.0              0.0              0.0              0.0        3.7319343              0.0              0.0   2.7207966E-8   7.2905800E-7
  NaN                   1     4    20973.11467    73130.14664        3.3080040              0.0              0.0              0.0              0.0        3.3080041              0.0              0.0   1.9449085E-7   5.8794017E-6
  NaN                   1     5    23070.42613    96200.57277        3.0028453              0.0              0.0              0.0              0.0        3.0028456              0.0              0.0   2.2259977E-7   7.4129614E-6
  NaN                   1     6    25377.46875   121578.04152        2.7439448              0.0              0.0              0.0              0.0        2.7439451              0.0              0.0   2.7526319E-7   1.0031659E-5
  NaN                   1     7    27915.21562   149493.25714        2.5207091              0.0              0.0              0.0              0.0        2.5207094              0.0              0.0   2.7827670E-7   1.1039619E-5
  NaN                   1     8    30706.73718   180199.99433        2.3265383              0.0              0.0              0.0              0.0        2.3265385              0.0              0.0   2.8250984E-7   1.2142926E-5
  NaN                   1     9    33777.41090   213977.40523        2.1562337              0.0              0.0              0.0              0.0        2.1562340              0.0              0.0   2.8670746E-7   1.3296677E-5
  NaN                   1    10    37155.15199   251132.55722        2.0056514              0.0              0.0              0.0              0.0        2.0056514              0.0              0.0   4.1991228E-9   2.0936454E-7
  NaN                   1    11    40870.66719   292003.22442        1.8714889              0.0              0.0              0.0              0.0        1.8714888              0.0              0.0   2.9740911E-8   1.5891578E-6
  NaN                   1    12    44957.73391   336960.95833        1.7511189              0.0              0.0              0.0              0.0        1.7511192              0.0              0.0   2.5920246E-7   1.4802104E-5
  NaN                   1    13    49453.50730   386414.46563        1.6424497              0.0              0.0              0.0              0.0        1.6424498              0.0              0.0   9.6762566E-8   5.8913562E-6
  NaN                   1    14    54398.85803   440813.32367        1.5438044              0.0              0.0              0.0              0.0        1.5438045              0.0              0.0   1.0788506E-7   6.9882595E-6
  NaN                   1    15    59838.74384   500652.06750        1.4538251              0.0              0.0              0.0              0.0        1.4538252              0.0              0.0   6.5225271E-8   4.4864590E-6
  NaN                   1    16    65822.61822   566474.68573        1.3713961              0.0              0.0              0.0              0.0        1.3713963              0.0              0.0   2.1695750E-7   1.5820192E-5
  NaN                   1    17    72404.88004   638879.56577        1.2955882              0.0              0.0              0.0              0.0        1.2955884              0.0              0.0   2.1831319E-7   1.6850507E-5
  NaN                   1    18    79645.36805   718524.93382        1.2256180              0.0              0.0              0.0              0.0        1.2256182              0.0              0.0   1.2848757E-7   1.0483491E-5
  NaN                   1    19    87609.90485   806134.83867        1.1608197              0.0              0.0              0.0              0.0        1.1608197              0.0              0.0   3.5714339E-8   3.0766483E-6
  NaN                   1    20    96370.89534   902505.73401        1.1006244              0.0              0.0              0.0              0.0        1.1006245              0.0              0.0   9.0459155E-8   8.2188941E-6
  NaN                   1    21   106007.98487   1.0085137E+6        1.0445467              0.0              0.0              0.0              0.0        1.0445468              0.0              0.0   1.1414745E-7   1.0927941E-5
  NaN                   1    22   116608.78336   1.1251225E+6        0.9921722              0.0              0.0              0.0              0.0        0.9921723              0.0              0.0   7.3250602E-8   7.3828512E-6
  NaN                   1    23   128269.66169   1.2533922E+6        0.9431467              0.0              0.0              0.0              0.0        0.9431467              0.0              0.0   3.6572040E-8   3.8776618E-6
  NaN                   1    24   141096.62786   1.3944888E+6        0.8971648              0.0              0.0              0.0              0.0        0.8971649              0.0              0.0   5.7905316E-8   6.4542561E-6
  NaN                   1    25   155206.29065   1.5496951E+6        0.8539610              0.0              0.0              0.0              0.0        0.8539611              0.0              0.0   5.9185724E-8   6.9307287E-6
  NaN                   1    26   170726.91972   1.7204220E+6        0.8133012              0.0              0.0              0.0              0.0        0.8133013              0.0              0.0   6.0666074E-8   7.4592377E-6
  NaN                   1    27   187799.61169   1.9082216E+6        0.7749770              0.0              0.0              0.0              0.0        0.7749771              0.0              0.0   6.2287040E-8   8.0372756E-6
  NaN                   1    28   206579.57286   2.1148012E+6        0.7388015              0.0              0.0              0.0              0.0        0.7388015              0.0              0.0   6.4143897E-8   8.6821558E-6
  NaN                   1    29   227237.53014   2.3420387E+6        0.7046061              0.0              0.0              0.0              0.0        0.7046062              0.0              0.0   6.6297016E-8   9.4090881E-6
  NaN                   1    30   249961.28316      2592000.0        0.6722387              0.0              0.0              0.0              0.0        0.6722387              0.0              0.0   6.8847041E-8   1.0241458E-5
  NaN                   2     1    15757.41147   2.6077574E+6        0.6702208    3.1086245E-15              0.0              0.0              0.0        0.6702208              0.0              0.0   7.1212315E-8   1.0625202E-5
  NaN                   2     2    17333.15262   2.6250906E+6        0.6680257    3.6415315E-14              0.0              0.0              0.0        0.6680258              0.0              0.0   7.1377107E-8   1.0684784E-5
  NaN                   2     3    19066.46788   2.6441570E+6        0.6656401              0.0              0.0              0.0              0.0        0.6656401              0.0              0.0   7.1582341E-8   1.0753910E-5
  NaN                   2     4    20973.11467   2.6651301E+6        0.6630500              0.0              0.0              0.0              0.0        0.6630501              0.0              0.0   7.1776738E-8   1.0825236E-5
  NaN                   2     5    23070.42613   2.6882006E+6        0.6602412              0.0              0.0              0.0              0.0        0.6602413              0.0              0.0   7.2074865E-8   1.0916443E-5
  NaN                   2     6    25377.46875   2.7135780E+6        0.6571988              0.0              0.0              0.0              0.0        0.6571989              0.0              0.0   7.2445183E-8   1.1023327E-5
  NaN                   2     7    27915.21562   2.7414933E+6        0.6539077              0.0              0.0              0.0              0.0        0.6539078              0.0              0.0   7.2905686E-8   1.1149232E-5
  NaN                   2     8    30706.73718   2.7722000E+6        0.6503524              0.0              0.0              0.0              0.0        0.6503524              0.0              0.0   7.3484014E-8   1.1299107E-5
  NaN                   2     9    33777.41090   2.8059774E+6        0.6465173              0.0              0.0              0.0              0.0        0.6465174              0.0              0.0   7.4213208E-8   1.1478919E-5
  NaN                   2    10    37155.15199   2.8431326E+6        0.6423872              0.0              0.0              0.0              0.0        0.6423872              0.0              0.0   7.5139047E-8   1.1696847E-5
  NaN                   2    11    40870.66719   2.8840032E+6        0.6379466              0.0              0.0              0.0              0.0        0.6379467              0.0              0.0   7.6325430E-8   1.1964234E-5
  NaN                   2    12    44957.73391   2.9289610E+6        0.6331808              0.0              0.0              0.0              0.0        0.6331809              0.0              0.0   7.7858436E-8   1.2296398E-5
  NaN                   2    13    49453.50730   2.9784145E+6        0.6280756    3.3306691E-15              0.0              0.0              0.0        0.6280757              0.0              0.0   7.9856383E-8   1.2714453E-5
  NaN                   2    14    54398.85803   3.0328133E+6        0.6226178              0.0              0.0              0.0              0.0        0.6226179              0.0              0.0   8.2477572E-8   1.3246902E-5
  NaN                   2    15    59838.74384   3.0926521E+6        0.6167951              0.0              0.0              0.0              0.0        0.6167952              0.0              0.0   8.5936782E-8   1.3932791E-5
  NaN                   2    16    65822.61822   3.1584747E+6        0.6105970              0.0              0.0              0.0              0.0        0.6105970              0.0              0.0   9.0467809E-8   1.4816288E-5
  NaN                   2    17    72404.88004   3.2308796E+6        0.6040142              0.0              0.0              0.0              0.0        0.6040143              0.0              0.0   9.7448742E-8   1.6133517E-5
  NaN                   2    18    79645.36805   3.3105249E+6        0.5970355              0.0              0.0              0.0              0.0        0.5970399     4.3080938E-6              0.0   1.2163390E-7   2.0372829E-5
