   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
          100.   -79.905      0.10000       13185.      0.98291E-03
          110.   -79.704      0.10000       13151.      0.98539E-03
          120.   -79.704      0.10000       13151.      0.98539E-03
          130.   -79.704      0.10000       13151.      0.98539E-03
          140.   -79.704      0.10000       13151.      0.98539E-03
          150.   -79.704      0.10000       13151.      0.98539E-03
          160.   -79.704      0.10000       13151.      0.98539E-03
          170.   -79.704      0.10000       13151.      0.98539E-03
          180.   -79.704      0.10000       13151.      0.98539E-03
          190.   -79.704      0.10000       13151.      0.98539E-03
          200.   -79.704      0.10000       13151.      0.98539E-03
          210.   -79.805      0.10000       13168.      0.98415E-03
          220.   -79.805      0.10000       13168.      0.98415E-03
          230.   -79.805      0.10000       13168.      0.98415E-03
          240.   -79.805      0.10000       13168.      0.98415E-03
          250.   -79.805      0.10000       13168.      0.98415E-03
          260.   -79.805      0.10000       13168.      0.98415E-03
          270.   -79.805      0.10000       13168.      0.98415E-03
          280.   -79.805      0.10000       13168.      0.98415E-03
          290.   -79.805      0.10000       13168.      0.98415E-03
          300.   -79.805      0.10000       13168.      0.98415E-03
          310.   -79.905      0.10000       13185.      0.98291E-03
          320.   -79.905      0.10000       13185.      0.98291E-03
          330.   -79.905      0.10000       13185.      0.98291E-03
          340.   -79.905      0.10000       13185.      0.98291E-03
          350.   -79.905      0.10000       13185.      0.98291E-03
          360.   -79.905      0.10000       13185.      0.98291E-03
          370.   -79.905      0.10000       13185.      0.98291E-03
          380.   -79.905      0.10000       13185.      0.98291E-03
          390.   -79.905      0.10000       13185.      0.98291E-03
          400.   -79.905      0.10000       13185.      0.98291E-03
          410.   -79.805      0.10000       13168.      0.98415E-03
          420.   -79.805      0.10000       13168.      0.98415E-03
          430.   -79.805      0.10000       13168.      0.98415E-03
          440.   -79.805      0.10000       13168.      0.98415E-03
          450.   -79.805      0.10000       13168.      0.98415E-03
          460.   -79.805      0.10000       13168.      0.98415E-03
          470.   -79.805      0.10000       13168.      0.98415E-03
          480.   -79.805      0.10000       13168.      0.98415E-03
          490.   -79.805      0.10000       13168.      0.98415E-03
          500.   -79.805      0.10000       13168.      0.98415E-03
