         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           RCH_IN          RCH_OUT         PIPES_IN        PIPES_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1          100.0          100.0              0.0              0.0       1250.33381       1172.82833              2.1              0.0              0.0       79.6054730   5.1007337E-6   4.0726573E-7
  NaN                   2     1           10.0          110.0     2.7877020E-7              0.0       1251.00384       1172.09988              0.7              0.0              0.0       79.6039507   1.5577571E-6   1.2445093E-7
  NaN                   2     2           10.0          120.0    4.4723340E-14    5.1856436E-13       1251.00383       1172.09988              0.7              0.0              0.0       79.6039507   1.0708500E-6   8.5551386E-8
  NaN                   2     3           10.0          130.0    2.4479984E-13    1.3627554E-14       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   1.0806161E-7   8.6331615E-9
  NaN                   2     4           10.0          140.0    1.5565240E-14    1.0005061E-13       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   3.1132936E-7   2.4872446E-8
  NaN                   2     5           10.0          150.0    6.3784047E-14    2.0179171E-15       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   3.5995527E-9  2.8757223E-10
  NaN                   2     6           10.0          160.0    5.2449364E-15    2.1928639E-14       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   7.9079200E-8   6.3177245E-9
  NaN                   2     7           10.0          170.0    1.5512331E-14    3.3219955E-16       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   1.6511876E-9  1.3191520E-10
  NaN                   2     8           10.0          180.0    1.4055597E-15    4.9144716E-15       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   1.9024583E-8   1.5198949E-9
  NaN                   2     9           10.0          190.0    3.6611339E-15    6.2450045E-17       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506  6.6484063E-10  5.3114851E-11
  NaN                   2    10           10.0          200.0    3.4607733E-16    1.1149935E-15       1251.00383       1172.09988              0.7              0.0              0.0       79.6039506   4.4653916E-9  3.5674506E-10
  NaN                   3     1           10.0          210.0              0.0     1.3938417E-7       1250.66883       1172.46411              1.4              0.0              0.0       79.6047195   2.9267244E-7   2.3375108E-8
  NaN                   3     2           10.0          220.0    2.2571875E-13    5.0852725E-13       1250.66882       1172.46410              1.4              0.0              0.0       79.6047195   9.9292220E-7   7.9302525E-8
