         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           RCH_IN          RCH_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1           19.0           19.0    2.6879353E-26       3125.10425              0.0        0.0019498           3125.0              0.0      0.1062010      0.0033984
  NaN                   1     2           19.0           38.0     3.6858186E-4       3124.99866    8.3266727E-12        0.0017080           3125.0              0.0   2.9323919E-6   9.3836530E-8
  NaN                   1     3           19.0           57.0     5.3064754E-5       3124.99846              0.0        0.0016763           3125.0              0.0   8.1448814E-5   2.6063620E-6
  NaN                   1     4           19.0           76.0     1.6293560E-6       3124.99788              0.0        0.0017631           3125.0              0.0   3.5593118E-4   1.1389798E-5
  NaN                   1     5           19.0           95.0    1.2015363E-24       3124.99797    2.7755576E-12        0.0019228           3125.0              0.0   1.0387485E-4   3.3239953E-6
  NaN                   1     6           19.0          114.0    1.6042883E-24       3124.99760    8.3266727E-12        0.0021374           3125.0              0.0   2.6041544E-4   8.3332943E-6
  NaN                   1     7           19.0          133.0    1.2079639E-24       3124.99765    2.7755576E-12        0.0024010           3125.0              0.0   5.1832191E-5   1.6586301E-6
  NaN                   1     8           19.0          152.0    1.5145931E-24       3124.99747              0.0        0.0027119           3125.0              0.0   1.8485393E-4   5.9153256E-6
  NaN                   1     9           19.0          171.0    9.7583736E-25       3124.99685              0.0        0.0030702           3125.0              0.0   7.4827290E-5   2.3944733E-6
  NaN                   1    10           19.0          190.0    1.2323599E-24       3124.99662              0.0        0.0034769           3125.0              0.0   9.3746126E-5   2.9998760E-6
  NaN                   2     1          259.0          449.0    1.7500119E-26       3124.79050              0.0        0.2101946           3125.0              0.0   6.9743711E-4   2.2317985E-5
  NaN                   2     2          259.0          708.0    1.3931509E-26       3123.95881              0.0        1.0411531           3125.0              0.0   3.7708191E-5   1.2066621E-6
  NaN                   3     1      113.05882      821.05882    4.7504099E-26       3123.41446              0.0        1.5855661           3125.0              0.0   2.1157404E-5   6.7703693E-7
  NaN                   3     2      113.05882      934.11765    3.4836340E-26       3122.60962              0.0        2.3904159           3125.0              0.0   3.4494574E-5   1.1038264E-6
  NaN                   3     3      113.05882     1047.17647    9.6481194E-27       3121.45679              0.0        3.5432113           3125.0              0.0   3.5853259E-6   1.1473043E-7
  NaN                   3     4      113.05882     1160.23529    1.4386254E-26       3119.85347              0.0        5.1464376           3125.0              0.0   8.7957074E-5   2.8146264E-6
  NaN                   3     5      113.05882     1273.29412    9.4026202E-27       3117.68677              0.0        7.3134773           3125.0              0.0   2.4945924E-4   7.9826953E-6
  NaN                   3     6      113.05882     1386.35294              0.0       3114.83586              0.0       10.1641115           3125.0              0.0   3.1082109E-5   9.9462750E-7
  NaN                   3     7      113.05882     1499.41176    2.0180036E-26       3111.18030              0.0       13.8196837           3125.0              0.0   1.2804720E-5   4.0975104E-7
  NaN                   3     8      113.05882     1612.47059              0.0       3106.60164              0.0       18.3983453           3125.0              0.0   1.1623542E-5   3.7195336E-7
  NaN                   3     9      113.05882     1725.52941    5.0818339E-27       3100.98919              0.0       24.0107963           3125.0              0.0   1.5800391E-5   5.0561251E-7
  NaN                   3    10      113.05882     1838.58824    7.7823253E-27       3094.24311    5.5511151E-12       30.7567677           3125.0              0.0   1.1838467E-4   3.7883094E-6
  NaN                   3    11      113.05882     1951.64706              0.0       3086.27767              0.0       38.7223112           3125.0              0.0   2.0551630E-5   6.5765216E-7
  NaN                   3    12      113.05882     2064.70588    1.1489364E-26       3077.02198              0.0       47.9780048           3125.0              0.0   1.8797099E-5   6.0150717E-7
  NaN                   3    13      113.05882     2177.76471              0.0       3066.42189              0.0       58.5780844           3125.0              0.0   2.4720757E-5   7.9106423E-7
  NaN                   3    14      113.05882     2290.82353    1.7184946E-28       3054.43983              0.0       70.5600959           3125.0              0.0   7.7757399E-5   2.4882368E-6
  NaN                   3    15      113.05882     2403.88235              0.0       3041.05452              0.0       83.9454174           3125.0              0.0   6.3320791E-5   2.0262653E-6
  NaN                   3    16      113.05882     2516.94118    4.6153854E-27       3026.25977              0.0       98.7401504           3125.0              0.0   8.3386833E-5   2.6683787E-6
  NaN                   3    17      113.05882     2630.00000        1.2772838       3011.34084              0.0        114.93637           3125.0              0.0   7.4211356E-5   2.3737932E-6
