         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1           73.0           73.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66862              0.0              0.0      0.3313848      0.0197155
  NaN                   1     2           73.0          146.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62525              0.0              0.0      0.3747488      0.0222957
  NaN                   1     3           73.0          219.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65153              0.0              0.0      0.3484714      0.0207322
  NaN                   1     4           73.0          292.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.59257              0.0              0.0      0.4074292      0.0242402
  NaN                   1     5           73.0          365.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66813              0.0              0.0      0.3318701      0.0197444
  NaN                   1     6           73.0          438.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.59228              0.0              0.0      0.4077204      0.0242576
  NaN                   1     7           73.0          511.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65202              0.0              0.0      0.3479825      0.0207031
  NaN                   1     8           73.0          584.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63391              0.0              0.0      0.3660878      0.0217804
  NaN                   1     9           73.0          657.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63711              0.0              0.0      0.3628902      0.0215901
  NaN                   1    10           73.0          730.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60991              0.0              0.0      0.3900886      0.0232084
  NaN                   1    11           73.0          803.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.61883              0.0              0.0      0.3811659      0.0226775
  NaN                   1    12           73.0          876.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.04028              0.0              0.0      0.0402756      0.0023959
  NaN                   1    13           73.0          949.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60144              0.0              0.0      0.3985577      0.0237124
  NaN                   1    14           73.0         1022.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.34628              0.0              0.0      0.3462771      0.0205974
  NaN                   1    15           73.0         1095.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67125              0.0              0.0      0.3287519      0.0195588
  NaN                   1    16           73.0         1168.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.30571              0.0              0.0      0.3057100      0.0181845
  NaN                   1    17           73.0         1241.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62513              0.0              0.0      0.3748668      0.0223027
  NaN                   1    18           73.0         1314.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.29374              0.0              0.0      0.2937371      0.0174724
  NaN                   1    19           73.0         1387.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63307              0.0              0.0      0.3669330      0.0218306
  NaN                   1    20           73.0         1460.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.28989              0.0              0.0      0.2898864      0.0172434
  NaN                   1    21           73.0         1533.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.69564              0.0              0.0      0.3043609      0.0181076
  NaN                   1    22           73.0         1606.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.31661              0.0              0.0      0.3166101      0.0188329
  NaN                   1    23           73.0         1679.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67879              0.0              0.0      0.3212118      0.0191102
  NaN                   1    24           73.0         1752.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.34060              0.0              0.0      0.3406021      0.0202598
  NaN                   1    25           73.0         1825.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.71488              0.0              0.0      0.2851151      0.0169625
  NaN                   1    26           73.0         1898.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.30178              0.0              0.0      0.3017847      0.0179511
  NaN                   1    27           73.0         1971.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.69340              0.0              0.0      0.3065992      0.0182408
  NaN                   1    28           73.0         2044.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.29219              0.0              0.0      0.2921872      0.0173802
  NaN                   1    29           73.0         2117.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68312              0.0              0.0      0.3168823      0.0188526
  NaN                   1    30           73.0         2190.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.29046              0.0              0.0      0.2904587      0.0172774
  NaN                   1    31           73.0         2263.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68707              0.0              0.0      0.3129269      0.0186173
  NaN                   1    32           73.0         2336.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.32245              0.0              0.0      0.3224482      0.0191801
  NaN                   1    33           73.0         2409.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.70076              0.0              0.0      0.2992409      0.0178029
  NaN                   1    34           73.0         2482.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.31411              0.0              0.0      0.3141065      0.0186839
