         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT     GHB_NORTH_IN    GHB_NORTH_OUT     GHB_SOUTH_IN    GHB_SOUTH_OUT         IN_OUT  PERCENT_ERROR
2010-01-01T00:00:00     1     1           15.5           15.5       2636.71362              0.0              0.0              0.0              0.0        691.58077              0.0       1945.13286  7.7307050E-12 -2.9319471E-13
2010-01-16T12:00:00     1     2           15.5           31.0       2626.13629              0.0              0.0              0.0              0.0        688.11963              0.0       1938.01666   9.8541932E-8  -3.7523541E-9
2010-02-01T00:00:00     2     1           14.0           45.0       2236.33762        0.1661781              0.0              0.0              0.0        484.30141              0.0       1751.87003  7.6852302E-11  3.4365250E-12
2010-02-15T00:00:00     2     2           14.0           59.0       2228.91390              0.0              0.0              0.0              0.0        482.12799              0.0       1746.78591   1.0321114E-6  -4.6305576E-8
2010-03-01T00:00:00     3     1           15.5           74.5       2072.51586        0.0587531              0.0              0.0              0.0        401.57764              0.0       1670.87947  8.0035534E-11 -3.8617574E-12
2010-03-16T12:00:00     3     2           15.5           90.0       2064.96842              0.0              0.0              0.0              0.0        399.39183              0.0       1665.57659   9.6206077E-7  -4.6589612E-8
2010-04-01T00:00:00     4     1           15.0          105.0       2206.02146              0.0              0.0              0.0              0.0        475.34233              0.0       1730.67913  2.6602720E-10 -1.2059139E-11
2010-04-16T00:00:00     4     2           15.0          120.0       2198.20627              0.0              0.0              0.0              0.0        472.94279              0.0       1725.26348   1.0534404E-6  -4.7922729E-8
2010-05-01T00:00:00     5     1           15.5          135.5       2571.02892              0.0              0.0              0.0              0.0        671.35961              0.0       1899.66931  1.5916157E-10 -6.1905789E-12
2010-05-16T12:00:00     5     2           15.5          151.0       2561.50359              0.0              0.0              0.0              0.0        668.19237              0.0       1893.31122   1.0396343E-7  -4.0586877E-9
2010-06-01T00:00:00     6     1           15.0          166.0       3079.30408              0.0              0.0              0.0              0.0        944.25737              0.0       2135.04670  2.1645974E-10 -7.0295019E-12
2010-06-16T00:00:00     6     2           15.0          181.0       3068.11230              0.0              0.0              0.0              0.0        940.26798              0.0       2127.84432   1.5938849E-7  -5.1950019E-9
2010-07-01T00:00:00     7     1           15.5          196.5       3579.20512              0.0              0.0              0.0              0.0       1215.00914              0.0       2364.19598  1.2005330E-10 -3.3541889E-12
2010-07-16T12:00:00     7     2           15.5          212.0       3565.64187              0.0              0.0              0.0              0.0       1209.95089              0.0       2355.69097   3.4239747E-8 -9.6026882E-10
2010-08-01T00:00:00     8     1           15.5          227.5       3924.13394              0.0              0.0              0.0              0.0       1405.30796              0.0       2518.82597  2.6011548E-10 -6.6286087E-12
