         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1            2.0            2.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     2            2.0            4.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1     3            2.0            6.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     4            2.0            8.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     5            2.0           10.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     6            2.0           12.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     7            2.0           14.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     8            2.0           16.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1     9            2.0           18.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    10            2.0           20.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    11            2.0           22.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    12            2.0           24.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    13            2.0           26.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    14            2.0           28.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    15            2.0           30.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    16            2.0           32.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    17            2.0           34.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    18            2.0           36.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    19            2.0           38.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    20            2.0           40.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    21            2.0           42.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    22            2.0           44.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    23            2.0           46.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    24            2.0           48.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    25            2.0           50.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    26            2.0           52.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    27            2.0           54.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    28            2.0           56.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    29            2.0           58.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    30            2.0           60.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    31            2.0           62.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    32            2.0           64.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    33            2.0           66.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    34            2.0           68.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    35            2.0           70.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    36            2.0           72.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    37            2.0           74.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    38            2.0           76.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    39            2.0           78.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    40            2.0           80.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    41            2.0           82.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    42            2.0           84.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    43            2.0           86.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    44            2.0           88.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    45            2.0           90.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    46            2.0           92.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    47            2.0           94.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    48            2.0           96.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    49            2.0           98.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    50            2.0          100.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    51            2.0          102.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    52            2.0          104.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    53            2.0          106.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    54            2.0          108.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    55            2.0          110.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    56            2.0          112.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    57            2.0          114.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    58            2.0          116.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    59            2.0          118.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    60            2.0          120.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    61            2.0          122.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    62            2.0          124.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    63            2.0          126.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    64            2.0          128.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  4.4408921E-16  4.4408921E-14
  NaN                   1    65            2.0          130.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    66            2.0          132.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    67            2.0          134.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    68            2.0          136.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    69            2.0          138.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    70            2.0          140.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    71            2.0          142.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    72            2.0          144.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1    73            2.0          146.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    74            2.0          148.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    75            2.0          150.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    76            2.0          152.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    77            2.0          154.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    78            2.0          156.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    79            2.0          158.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1    80            2.0          160.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1    81            2.0          162.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
