         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1          365.0          365.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0644214        0.0944216              0.0              0.0   2.0527558E-7   2.1740353E-4
  NaN                   1     2          365.0          730.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0588529        0.0888529              0.0              0.0  5.6144256E-12   6.3187837E-9
  NaN                   1     3          365.0         1095.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0538414        0.0838414              0.0              0.0  3.0836445E-14  3.6779494E-11
  NaN                   1     4          365.0         1460.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0494328        0.0794328              0.0              0.0  9.5201624E-15  1.1985172E-11
  NaN                   1     5          365.0         1825.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0453133        0.0753133              0.0              0.0  8.0574436E-14  1.0698571E-10
  NaN                   1     6          365.0         2190.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0409910        0.0709910              0.0              0.0  2.7283731E-14  3.8432668E-11
  NaN                   1     7          365.0         2555.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0378578        0.0678578              0.0              0.0  5.9258154E-14  8.7326912E-11
  NaN                   1     8          365.0         2920.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0353169        0.0653169              0.0              0.0  2.0178303E-14  3.0892946E-11
  NaN                   1     9          365.0         3285.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0330301        0.0630301              0.0              0.0  5.5705440E-14  8.8379046E-11
  NaN                   1    10          365.0         3650.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0303756        0.0603756              0.0              0.0  2.3731017E-14  3.9305618E-11
  NaN                   1    11          365.0         4015.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0286386        0.0586386              0.0              0.0  2.0178303E-14  3.4411281E-11
  NaN                   1    12          365.0         4380.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0277154        0.0577154              0.0              0.0  3.0836445E-14  5.3428448E-11
  NaN                   1    13          365.0         4745.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0270614        0.0570614              0.0              0.0  3.4389158E-14  6.0266956E-11
  NaN                   1    14          365.0         5110.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0268140        0.0568140              0.0              0.0  3.4389158E-14  6.0529391E-11
  NaN                   1    15          365.0         5475.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0267868        0.0567868              0.0              0.0  4.8600013E-14  8.5583357E-11
