         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1          365.0          365.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0595982        0.0895984              0.0              0.0   1.4559725E-7  -1.6250003E-4
  NaN                   1     2          365.0          730.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0543747        0.0843747              0.0              0.0  2.5875135E-12  -3.0666953E-9
  NaN                   1     3          365.0         1095.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0497243        0.0797243              0.0              0.0  4.1494586E-14  5.2047570E-11
  NaN                   1     4          365.0         1460.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0457988        0.0757988              0.0              0.0  4.8600013E-14  6.4117124E-11
  NaN                   1     5          365.0         1825.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0410721        0.0710721              0.0              0.0  4.5047299E-14  6.3382564E-11
  NaN                   1     6          365.0         2190.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0374427        0.0674427              0.0              0.0  2.3731017E-14  3.5186950E-11
  NaN                   1     7          365.0         2555.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0346313        0.0646313              0.0              0.0  3.7941872E-14  5.8705135E-11
  NaN                   1     8          365.0         2920.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0322888        0.0622888              0.0              0.0  4.5047299E-14  7.2320064E-11
  NaN                   1     9          365.0         3285.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0293044        0.0593044              0.0              0.0  4.8600013E-14  8.1950028E-11
  NaN                   1    10          365.0         3650.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0272672        0.0572672              0.0              0.0  5.2152727E-14  9.1069041E-11
  NaN                   1    11          365.0         4015.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0263965        0.0563965              0.0              0.0  4.5047299E-14  7.9876090E-11
  NaN                   1    12          365.0         4380.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0256137        0.0556137              0.0              0.0  4.1494586E-14  7.4612161E-11
  NaN                   1    13          365.0         4745.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0252180        0.0552180              0.0              0.0  6.2810868E-14  1.1375076E-10
  NaN                   1    14          365.0         5110.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0252243        0.0552243              0.0              0.0  3.7941872E-14  6.8705038E-11
  NaN                   1    15          365.0         5475.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0252718        0.0552718              0.0              0.0  4.1494586E-14  7.5073673E-11
  NaN                   1    16          365.0         5840.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0253443        0.0553443              0.0              0.0  2.3731017E-14  4.2878852E-11
  NaN                   1    17          365.0         6205.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0254300        0.0554300              0.0              0.0  6.9916295E-14  1.2613445E-10
  NaN                   1    18          365.0         6570.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0255200        0.0555200              0.0              0.0  3.4389158E-14  6.1940161E-11
  NaN                   1    19          365.0         6935.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0256075        0.0556075              0.0              0.0  3.0836445E-14  5.5453746E-11
  NaN                   1    20          365.0         7300.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0256787        0.0556787              0.0              0.0  5.9258154E-14  1.0642886E-10
  NaN                   1    21          365.0         7665.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0254748        0.0554748              0.0              0.0  4.5047299E-14  8.1203113E-11
  NaN                   1    22          365.0         8030.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0256088        0.0556088              0.0              0.0  4.8600013E-14  8.7396280E-11
  NaN                   1    23          365.0         8395.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0257037        0.0557037              0.0              0.0  3.4389158E-14  6.1735808E-11
  NaN                   1    24          365.0         8760.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0254304        0.0554304              0.0              0.0  3.4389158E-14  6.2040204E-11
  NaN                   1    25          365.0         9125.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0253371        0.0553371              0.0              0.0  5.5705440E-14  1.0066558E-10
  NaN                   1    26          365.0         9490.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0254618        0.0554618              0.0              0.0  4.8600013E-14  8.7627963E-11
  NaN                   1    27          365.0         9855.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0253042        0.0553042              0.0              0.0  5.2152727E-14  9.4301551E-11
  NaN                   1    28          365.0        10220.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0251812        0.0551812              0.0              0.0  5.2152727E-14  9.4511753E-11
  NaN                   1    29          365.0        10585.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0251265        0.0551265              0.0              0.0  6.9916295E-14  1.2682879E-10
  NaN                   1    30          365.0        10950.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0252614        0.0552614              0.0              0.0  3.0836445E-14  5.5801053E-11
  NaN                   1    31          365.0        11315.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0251444        0.0551444              0.0              0.0  4.8600013E-14  8.8132349E-11
  NaN                   1    32          365.0        11680.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0250457        0.0550457              0.0              0.0  3.7941872E-14  6.8927998E-11
  NaN                   1    33          365.0        12045.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0249614        0.0549614              0.0              0.0  4.5047299E-14  8.1961680E-11
  NaN                   1    34          365.0        12410.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0248873        0.0548873              0.0              0.0  2.7283731E-14  4.9708677E-11
  NaN                   1    35          365.0        12775.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0248200        0.0548200              0.0              0.0  3.0836445E-14  5.6250322E-11
  NaN                   1    36          365.0        13140.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0247573        0.0547573              0.0              0.0  3.4389158E-14  6.2802907E-11
  NaN                   1    37          365.0        13505.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0246971        0.0546971              0.0              0.0  2.7283731E-14  4.9881507E-11
  NaN                   1    38          365.0        13870.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0246382        0.0546382              0.0              0.0  4.1494586E-14  7.5944339E-11
  NaN                   1    39          365.0        14235.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0245789        0.0545789              0.0              0.0  5.9258154E-14  1.0857332E-10
  NaN                   1    40          365.0        14600.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0245195        0.0545195              0.0              0.0  5.2152727E-14  9.5658779E-11
  NaN                   1    41          365.0        14965.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0244588        0.0544588              0.0              0.0  4.8600013E-14  8.9241765E-11
  NaN                   1    42          365.0        15330.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0243961        0.0543961              0.0              0.0  5.9258154E-14  1.0893816E-10
  NaN                   1    43          365.0        15695.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0243323        0.0543323              0.0              0.0  4.8600013E-14  8.9449636E-11
  NaN                   1    44          365.0        16060.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0242661        0.0542661              0.0              0.0  5.2152727E-14  9.6105472E-11
  NaN                   1    45          365.0        16425.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0241981        0.0541981              0.0              0.0  4.5047299E-14  8.3116012E-11
  NaN                   1    46          365.0        16790.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0241281        0.0541281              0.0              0.0  9.5201624E-15  1.7588204E-11
  NaN                   1    47          365.0        17155.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0240562        0.0540562              0.0              0.0  2.3731017E-14  4.3900665E-11
  NaN                   1    48          365.0        17520.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0239824        0.0539824              0.0              0.0  3.0836445E-14  5.7123173E-11
  NaN                   1    49          365.0        17885.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0239068        0.0539068              0.0              0.0  3.4389158E-14  6.3793702E-11
  NaN                   1    50          365.0        18250.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0238296        0.0538296              0.0              0.0  2.3731017E-14  4.4085424E-11
  NaN                   1    51          365.0        18615.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0237509        0.0537509              0.0              0.0  6.9916295E-14  1.3007470E-10
  NaN                   1    52          365.0        18980.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0236707        0.0536707              0.0              0.0  2.3731017E-14  4.4215961E-11
  NaN                   1    53          365.0        19345.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0235892        0.0535892              0.0              0.0  4.1494586E-14  7.7430857E-11
  NaN                   1    54          365.0        19710.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0235065        0.0535065              0.0              0.0  2.7283731E-14  5.0991421E-11
  NaN                   1    55          365.0        20075.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0234227        0.0534227              0.0              0.0  4.8600013E-14  9.0972569E-11
  NaN                   1    56          365.0        20440.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0233379        0.0533379              0.0              0.0  5.2152727E-14  9.7777974E-11
  NaN                   1    57          365.0        20805.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0232522        0.0532522              0.0              0.0  4.1494586E-14  7.7920887E-11
  NaN                   1    58          365.0        21170.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0231657        0.0531657              0.0              0.0  3.0836445E-14  5.8000668E-11
