         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT           SWR_IN          SWR_OUT      SWR_GWET_IN     SWR_GWET_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1      0.1666667      0.1666667              0.0     135311.98009              0.0              0.0       64.2939883        168.07246     137365.84338              0.0              0.0       2870.38712              0.0        398.19921       1529.76616        210.85570              0.0              0.0      0.4089461   2.9429116E-4
  NaN                   1     2      0.1666667      0.3333333       81.9513989       6504.95195              0.0              0.0       69.9273178        167.71352       9510.38974              0.0              0.0       3719.25008              0.0        405.60059       1534.66727        399.14775              0.0              0.0      0.2718412      0.0024278
  NaN                   1     3      0.1666667            0.5        446.38000        835.68603              0.0              0.0       71.3242098        166.20040       3495.54518              0.0              0.0       3757.02808              0.0        412.70945       1561.83060        403.38431              0.0              0.0      0.0717097      0.0012863
  NaN                   1     4      0.1666667      0.6666667       1798.25637        134.94178              0.0              0.0       72.2158665        164.63141       1388.26583              0.0              0.0       3740.33958              0.0        419.51625       1592.23099        391.70569              0.0              0.0      0.1656495     -0.0034147
  NaN                   1     5      0.1666667      0.8333333       2280.96492        114.21797              0.0              0.0       73.0691108        163.07560        818.28741              0.0              0.0       3713.80645              0.0        426.02073       1621.80617        377.23914              0.0              0.0      0.2322687     -0.0048447
  NaN                   1     6      0.1666667      1.0000000       2683.25294        113.95258              0.0              0.0       73.9207453        161.50478        444.31101              0.0              0.0       3783.22568              0.0        432.22547       1651.84466        362.24425              0.0              0.0      0.1765858      0.0036385
  NaN                   2     1      0.1666667      1.1666667       2985.82332        100.15249              0.0              0.0       74.7778326        105.92186        168.93784              0.0              0.0       3839.34458              0.0        437.36228       1603.59423        350.23324              0.0              0.0      0.1187806      0.0024577
  NaN                   2     2      0.1666667      1.3333333       3065.60823       80.3408111              0.0              0.0       75.5940207        104.36848       42.0662202              0.0              0.0       3806.37124              0.0        440.91014       1590.76161        341.46608              0.0              0.0      0.5733158      0.0120098
  NaN                   2     3      0.1666667            1.5       3056.82073       63.6023822              0.0              0.0       76.3606488        102.94875        5.8857403              0.0              0.0       3774.66012              0.0        443.20271       1578.58265        332.75148              0.0              0.0      0.4843238      0.0102667
  NaN                   2     4      0.1666667      1.6666667       3021.95437       49.3277316              0.0              0.0       77.0921482        101.60535        0.6702144              0.0              0.0       3746.43576              0.0        444.51086       1567.32576        324.40547              0.0              0.0      0.7573161      0.0162282
  NaN                   2     5      0.1666667      1.8333333       3222.02520       34.1049910              0.0              0.0       77.8334407        100.24280        0.1857748              0.0              0.0       3961.09286              0.0        445.04658       1557.31097        315.82368              0.0              0.0      1.0444944      0.0215057
  NaN                   2     6      0.1666667            2.0       3636.24091       18.5599848              0.0              0.0       78.6288468       98.7811637     9.2763894E-4              0.0              0.0       4394.73394              0.0        444.97482       1548.84305        306.47951              0.0              0.0      0.1843250      0.0035019
  NaN                   3     1      0.1666667      2.1666667       3607.75883        6.8462732              0.0              0.0       79.3934779       43.3921022     3.4229768E-4              0.0              0.0       4366.40038              0.0        443.99393       1473.54007        299.91859              0.0              0.0      0.1414405      0.0027408
  NaN                   3     2      0.1666667      2.3333333       3593.40102              0.0              0.0              0.0       80.1104732       42.0239071              0.0              0.0              0.0       4338.21690              0.0        441.91038       1444.02820        295.21269              0.0              0.0      0.1758335      0.0034360
  NaN                   3     3      0.1666667      2.5000000       3584.19168              0.0              0.0              0.0       80.7918371       40.7782177              0.0              0.0              0.0       4310.18579              0.0        438.98846       1415.86520        290.71293              0.0              0.0      0.1833219      0.0036082
  NaN                   3     4      0.1666667      2.6666667       3721.33721              0.0              0.0              0.0       81.4368584       39.5955233              0.0              0.0              0.0       4431.49737              0.0        435.44217       1389.87407        285.91603              0.0              0.0      0.1970496      0.0037949
  NaN                   3     5      0.1666667      2.8333333       3907.03945              0.0              0.0              0.0       82.5724757       38.9898253              0.0              0.0              0.0       4604.24861              0.0        431.43601       1366.05024        280.78431              0.0              0.0      0.2034235      0.0037984
  NaN                   3     6      0.1666667      3.0000000       3885.01520              0.0              0.0              0.0       84.1418092       38.9086205              0.0              0.0              0.0       4570.73342              0.0        427.09721       1343.56359        275.78006              0.0              0.0      0.2012852      0.0037888
  NaN                   4     1      0.1666667      3.1666667       3862.10362              0.0              0.0              0.0       85.6346274       38.8277396              0.0              0.0              0.0       4537.42767              0.0        422.52337       1322.29441        271.05718              0.0              0.0      0.1966933      0.0037324
  NaN                   4     2      0.1666667      3.3333333       3838.21591              0.0              0.0              0.0       87.0404746       38.7472131              0.0              0.0              0.0       4504.33700              0.0        417.78959       1302.15852        266.34748              0.0              0.0      0.1936152      0.0037039
  NaN                   4     3      0.1666667      3.5000000       3828.43185              0.0              0.0              0.0       88.3776227       38.6670354              0.0              0.0              0.0       4486.51570              0.0        412.95197       1283.04023        261.52993              0.0              0.0      0.1850707      0.0035592
  NaN                   4     4      0.1666667      3.6666667       3806.83632              0.0              0.0              0.0       89.6371440       38.5872414              0.0              0.0              0.0       4457.88216              0.0        408.05303       1264.86208        256.61394              0.0              0.0      0.1991741      0.0038590
  NaN                   4     5      0.1666667      3.8333333       3780.47169              0.0              0.0              0.0       90.8375825       38.5078572              0.0              0.0              0.0       4425.03343              0.0        403.12557       1248.08107        252.52883              0.0              0.0      0.1946582      0.0038024
  NaN                   4     6      0.1666667      4.0000000       3753.69236              0.0              0.0              0.0       91.9693964       38.4288969              0.0              0.0              0.0       4392.42018              0.0        398.19245       1233.45072        249.88602              0.0              0.0      0.1849351      0.0036412
  NaN                   5     1      0.1666667      4.1666667       3726.67527              0.0              0.0              0.0       93.0434658       38.3503731              0.0              0.0              0.0       4360.04383              0.0        393.27094       1219.46655        247.32580              0.0              0.0      0.1943424      0.0038567
  NaN                   5     2      0.1666667      4.3333333       3699.44611              0.0              0.0              0.0       94.0610115       38.2722974              0.0              0.0              0.0       4327.90573              0.0        388.37417       1206.08310        244.85440              0.0              0.0      0.1836279      0.0036729
  NaN                   5     3      0.1666667      4.5000000       3672.10645              0.0              0.0              0.0       95.0284866       38.1946790              0.0              0.0              0.0       4296.00651              0.0        383.51055       1193.23736        242.47587              0.0              0.0      0.1846864      0.0037233
  NaN                   5     4      0.1666667      4.6666667       3644.65112              0.0              0.0              0.0       95.9462252       38.1175268              0.0              0.0              0.0       4264.34690              0.0        378.68664       1180.90980        240.17436              0.0              0.0      0.1817242      0.0036925
  NaN                   5     5      0.1666667      4.8333333       3617.18872              0.0              0.0              0.0       96.8236268       38.0408485              0.0              0.0              0.0       4232.92677              0.0        373.90704       1169.51314        238.46098              0.0              0.0      0.1898403      0.0038874
  NaN                   5     6      0.1666667            5.0       3589.58204              0.0              0.0              0.0       97.6502893       37.9646512              0.0              0.0              0.0       4201.74725              0.0        369.17492       1159.44271        237.60258              0.0              0.0      0.1856401      0.0038303
  NaN                   6     1      0.1666667      5.1666667       3561.81295              0.0              0.0              0.0       98.4289850       37.8889417              0.0              0.0              0.0       4170.80961              0.0        364.49287       1149.75964        236.61520              0.0              0.0      0.1949568      0.0040532
  NaN                   6     2      0.1666667      5.3333333       3534.10652              0.0              0.0              0.0       99.1681832       37.8137249              0.0              0.0              0.0       4140.11329              0.0        359.86142       1140.42076        235.73741              0.0              0.0      0.1696266      0.0035534
  NaN                   6     3      0.1666667      5.5000000       3506.60136              0.0              0.0              0.0       99.8809017       37.7390047              0.0              0.0              0.0       4109.65653              0.0        355.28012       1131.39705        235.04003              0.0              0.0      0.1636246      0.0034536
  NaN                   6     4      0.1666667      5.6666667       3478.98475              0.0              0.0              0.0        100.55047       37.6647852              0.0              0.0              0.0       4079.44028              0.0        350.74903       1122.68532        234.24636              0.0              0.0      0.1200882      0.0025539
  NaN                   6     5      0.1666667      5.8333333       3451.45611              0.0              0.0              0.0        101.19032       37.5910694              0.0              0.0              0.0       4049.46377              0.0        346.26756       1114.26223        233.38534              0.0              0.0      0.2009195      0.0043053
  NaN                   6     6      0.1666667      6.0000000       3424.20698              0.0              0.0              0.0        101.80687       37.5178597              0.0              0.0              0.0       4019.72461              0.0        341.83467       1106.10698        232.93175              0.0              0.0      0.1119390      0.0024166
  NaN                   7     1      0.1666667      6.1666667       3319.91072       35.0463340              0.0              0.0        102.38918       91.4504898       66.5104380              0.0              0.0       3948.34311              0.0        348.92275       1160.57515        225.47395              0.0              0.0      0.1488428      0.0032014
  NaN                   7     2      0.1666667      6.3333333       3231.64655       27.8357500              0.0              0.0        102.93226       91.4376835       66.4751108              0.0              0.0       3881.12187              0.0        354.70426       1167.33882        212.18886              0.0              0.0      1.1043076      0.0241757
  NaN                   7     3      0.1666667      6.5000000       3147.88898       22.4139864              0.0              0.0        103.45587       91.3732795       66.4466630              0.0              0.0       3817.75248              0.0        359.39447       1174.05548        199.88399              0.0              0.0      1.0287821      0.0229059
  NaN                   7     4      0.1666667      6.6666667       3068.29679       17.9730218              0.0              0.0        103.98563       91.3098901       66.4238500              0.0              0.0       3756.78708              0.0        363.17791       1181.26447        189.63345              0.0              0.0      1.0893988      0.0246502
  NaN                   7     5      0.1666667      6.8333333       2992.26786       14.3394098              0.0              0.0        104.48609       91.2486899       66.4056475              0.0              0.0       3698.19134              0.0        366.21093       1189.37725        181.53657              0.0              0.0      1.0098946      0.0232051
  NaN                   7     6      0.1666667      7.0000000       2920.72336       11.3595206              0.0              0.0        104.96230       91.1895607       66.3912260              0.0              0.0       3642.97089              0.0        368.62289       1196.81247        173.71149              0.0              0.0      1.0350052      0.0241352
  NaN                   8     1      0.1666667      7.1666667       2913.63272              0.0              0.0              0.0        105.41218       37.1284620              0.0              0.0              0.0       3590.81464              0.0        358.77630       1138.84463        170.90467              0.0              0.0      0.2654579      0.0063846
  NaN                   8     2      0.1666667      7.3333333       2831.29027              0.0              0.0              0.0        105.80751       37.0165219       40.6764275              0.0              0.0       3542.53995              0.0        350.04968       1124.89440        172.00305              0.0              0.0      1.0594024      0.0258256
  NaN                   8     3      0.1666667      7.5000000       2808.30095              0.0              0.0              0.0        106.19293       36.9594777       28.1058089              0.0              0.0       3500.38887              0.0        342.21371       1111.31081        173.36598              0.0              0.0      0.9824626      0.0242379
  NaN                   8     4      0.1666667      7.6666667       2797.97984              0.0              0.0              0.0        106.59522       36.9042718       11.2211491              0.0              0.0       3466.39443              0.0        335.08949       1099.71040        176.28257              0.0              0.0      0.8358417      0.0208175
  NaN                   8     5      0.1666667      7.8333333       2785.88877              0.0              0.0              0.0        106.99518       36.8493561        3.6668378              0.0              0.0       3440.01216              0.0        328.53849       1089.85216        180.04442              0.0              0.0      0.9585252      0.0240478
  NaN                   8     6      0.1666667      8.0000000       2776.89416              0.0              0.0              0.0        107.38412       36.7944550        0.2906079              0.0              0.0       3421.02111              0.0        322.45299       1080.44551        183.79181              0.0              0.0      0.9540402      0.0240644
  NaN                   9     1      0.1666667      8.1666667       2773.99997              0.0              0.0              0.0        107.76756       36.7392570              0.0              0.0              0.0       3411.34300              0.0        316.74813       1071.39955        187.38073              0.0              0.0      0.9559559      0.0241850
  NaN                   9     2      0.1666667      8.3333333       2778.54196              0.0              0.0              0.0        108.13691       36.6835136              0.0              0.0              0.0       3409.66010              0.0        311.35768       1062.72721        190.73427              0.0              0.0      0.9705155      0.0245767
  NaN                   9     3      0.1666667      8.5000000       2791.33450              0.0              0.0              0.0        108.50008       36.6269466              0.0              0.0              0.0       3416.52838              0.0        306.22821       1054.41613        193.89375              0.0              0.0      0.9734184      0.0246200
  NaN                   9     4      0.1666667      8.6666667       2812.34942              0.0              0.0              0.0        108.86616       36.5692811              0.0              0.0              0.0       3431.82424              0.0        301.31671       1046.47799        197.03910              0.0              0.0      0.9442467      0.0238012
  NaN                   9     5      0.1666667      8.8333333       2846.85910              0.0              0.0              0.0        109.22617       36.5100705              0.0              0.0              0.0       3461.10274              0.0        296.58878       1038.93854        199.83215              0.0              0.0      0.9900738      0.0247857
  NaN                   9     6      0.1666667      9.0000000       2889.58651              0.0              0.0              0.0        109.57791       36.4490204              0.0              0.0              0.0       3499.09791              0.0        292.01496       1031.77248        202.35875              0.0              0.0      1.0162525      0.0252145
  NaN                  10     1      0.1666667      9.1666667       2912.22127              0.0              0.0              0.0        109.92476       36.3867127              0.0              0.0              0.0       3517.54501              0.0        287.57242       1025.00995        204.64320              0.0              0.0      1.0086482      0.0249255
  NaN                  10     2      0.1666667      9.3333333       2903.68500              0.0              0.0              0.0        110.26780       36.3240510              0.0              0.0              0.0       3505.30019              0.0        283.24290       1018.55719        206.65172              0.0              0.0      0.9911266      0.0245814
  NaN                  10     3      0.1666667            9.5       2890.29229              0.0              0.0              0.0        110.61022       36.2612256              0.0              0.0              0.0       3488.44943              0.0        279.01160       1012.28855        208.50423              0.0              0.0      0.9645662      0.0240378
  NaN                  10     4      0.1666667      9.6666667       2869.06611              0.0              0.0              0.0        110.94322       36.1987706              0.0              0.0              0.0       3463.95862              0.0        274.86595       1006.16011        210.16838              0.0              0.0      0.9777221      0.0245309
  NaN                  10     5      0.1666667      9.8333333       2847.46791              0.0              0.0              0.0        111.26614       36.1367387              0.0              0.0              0.0       3439.26633              0.0        270.79624       1000.17589        211.74082              0.0              0.0      0.9698184      0.0245001
  NaN                  10     6      0.1666667     10.0000000       2825.93683              0.0              0.0              0.0        111.58581       36.0751336              0.0              0.0              0.0       3414.76037              0.0        266.79539        994.35100        213.26342              0.0              0.0      0.9793063      0.0249100
  NaN                  11     1      0.1666667     10.1666667       2804.63983              0.0              0.0              0.0        111.90698       36.0139551              0.0              0.0              0.0       3390.43902              0.0        262.85610        988.64064        214.92519              0.0              0.0      0.9531809      0.0244110
  NaN                  11     2      0.1666667     10.3333333       2783.36655              0.0              0.0              0.0        112.21937       35.9532020              0.0              0.0              0.0       3366.30233              0.0        258.97200        983.03649        216.43726              0.0              0.0      0.9576289      0.0246930
  NaN                  11     3      0.1666667     10.5000000       2762.19444              0.0              0.0              0.0        112.52723       35.8928741              0.0              0.0              0.0       3342.34961              0.0        255.13856        977.54716        217.94568              0.0              0.0      0.9421143      0.0244591
  NaN                  11     4      0.1666667     10.6666667       2741.11125              0.0              0.0              0.0        112.83096       35.8329708              0.0              0.0              0.0       3318.58025              0.0        251.35216        972.17163        219.40987              0.0              0.0      0.9385922      0.0245342
  NaN                  11     5      0.1666667     10.8333333       2720.14153              0.0              0.0              0.0        113.13164       35.7734917              0.0              0.0              0.0       3294.99339              0.0        247.60975        966.90362        220.86899              0.0              0.0      0.9311544      0.0245059
  NaN                  11     6      0.1666667     11.0000000       2699.28723              0.0              0.0              0.0        113.42976       35.7144357              0.0              0.0              0.0       3271.58813              0.0        243.90878        961.73888        222.32144              0.0              0.0      0.9230869      0.0244591
  NaN                  12     1      0.1666667     11.1666667       2678.71428              0.0              0.0              0.0        113.73597       35.6558019              0.0              0.0              0.0       3248.36213              0.0        240.24682        956.66720        223.94414              0.0              0.0      0.9085565      0.0242368
  NaN                  12     2      0.1666667     11.3333333       2658.33630              0.0              0.0              0.0        114.04738       35.5975889              0.0              0.0              0.0       3225.31376              0.0        236.62202        951.68781        225.63636              0.0              0.0      0.9017551      0.0242172
  NaN                  12     3      0.1666667     11.5000000       2637.93202              0.0              0.0              0.0        114.35109       35.5397961              0.0              0.0              0.0       3202.44328              0.0        233.03325        946.80868        227.24200              0.0              0.0      0.8334589      0.0225340
